SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,OPPSOS,NCOPPSOS,1-50,51-100,101-200,VTOP100
Wofford,253,219,298,12-19,134,5-7,7-12,3-15,248,135,312,287,0-1,1-5,2-4,1-6
IPFW,254,211,282,14-17,276,6-7,8-10,4-11,327,343,240,293,0-1,0-6,3-3,0-7
NorthernColo.,255,222,302,11-18,322,0-7,11-11,4-13,255,136,311,68,0-2,0-7,0-1,0-9
NorthernAriz.,256,209,280,11-21,178,3-8,8-13,4-13,204,66,293,97,0-4,0-6,0-1,0-10
Miami(OH),257,173,151,8-22,208,4-8,4-14,4-13,154,127,187,194,0-4,0-4,2-7,0-8
Colgate,258,198,238,11-21,266,6-11,5-10,3-16,231,293,242,257,0-3,0-3,1-7,0-6
SanJoseSt.,259,176,159,8-20,189,5-5,3-15,4-9,147,162,248,347,0-1,1-7,0-8,1-8
CentralMich.,260,183,186,10-20,153,6-7,4-13,2-13,217,172,201,156,0-2,0-3,2-9,0-5
WilliamMary,261,216,291,12-17,220,5-5,7-12,5-11,310,327,247,298,0-0,0-1,1-12,0-1
UTSA,262,179,171,10-22,269,5-7,5-15,4-11,210,329,193,317,0-1,1-7,1-6,1-8
Marist,263,180,176,10-21,248,4-8,6-13,3-11,185,176,222,318,0-0,1-3,4-13,1-3
NorthernKy.,264,213,284,11-16,286,2-7,9-9,6-9,323,315,253,146,0-1,0-2,1-4,0-3
AppalachianSt.,265,232,322,13-16,326,2-7,11-9,4-11,325,332,295,204,0-1,0-4,1-3,0-5
DelawareSt.,266,226,311,13-18,231,3-9,10-9,5-12,326,203,299,68,0-1,0-3,2-6,0-4
CoastalCaro.,267,224,305,11-15,261,2-7,9-8,2-11,265,69,328,251,1-1,0-0,2-7,1-1
GaSouthern,268,217,294,12-19,232,4-7,8-12,5-11,289,262,301,265,0-0,1-5,2-4,1-5
Winthrop,269,222,302,11-17,146,4-6,7-11,2-12,252,76,316,170,0-2,1-1,2-5,1-3
CalStFullerton,270,206,273,12-18,215,6-5,6-13,6-10,322,339,245,277,0-0,0-2,3-9,0-2
EastTennSt.,271,186,197,9-22,265,1-11,8-11,5-11,197,64,237,74,0-4,1-1,1-7,1-5
Columbia,272,206,273,10-16,199,6-6,4-10,5-9,291,251,271,313,0-0,2-2,2-6,2-2
Maine,273,201,251,10-19,267,4-8,6-11,3-15,256,304,263,253,0-0,1-3,6-6,1-3
TexasSt.,274,177,163,11-22,329,4-8,7-14,5-8,254,344,138,208,0-0,1-8,1-9,1-8
BowlingGreen,275,181,181,11-19,300,4-9,7-10,1-12,219,247,174,224,0-4,1-2,3-5,1-6
EasternIll.,276,208,279,11-20,249,5-9,6-11,4-11,245,222,289,344,0-2,0-2,1-9,0-4
Jacksonville,277,209,280,12-18,284,3-8,9-10,3-13,319,307,239,113,0-2,0-2,2-4,0-4
American,278,195,229,10-20,278,5-10,5-10,3-14,236,292,232,217,0-3,0-3,3-4,0-6
Troy,279,196,231,12-21,275,5-6,7-15,2-12,240,313,231,335,0-2,0-1,3-10,0-3
Penn,280,180,176,9-22,293,3-14,6-8,4-12,215,200,188,127,0-3,1-3,0-11,1-6
Bethune-Cookman,281,217,294,12-20,253,3-10,9-10,2-15,287,155,315,261,0-1,0-2,2-10,0-3
Monmouth,282,185,192,10-21,229,5-8,5-13,3-13,253,250,169,71,0-2,0-2,3-12,0-4
SacramentoSt.,283,242,334,12-15,182,4-3,8-12,4-11,332,321,319,269,0-0,0-5,1-0,0-5
Hampton,284,245,337,14-17,333,3-11,11-6,7-8,329,283,343,342,0-0,0-2,3-4,0-2
UMKC,285,181,181,7-24,274,2-12,5-12,4-11,159,98,262,283,0-4,0-5,1-6,0-9
NebOmaha,286,200,248,10-19,295,4-9,6-10,3-13,301,306,229,248,0-2,0-5,0-6,0-7
CentralArk.,287,215,288,11-17,241,4-5,7-12,5-8,313,273,284,304,0-1,0-5,1-2,0-6
Campbell,288,229,316,11-19,245,3-9,8-10,4-9,283,95,327,206,0-3,1-1,1-4,1-4
SaintPeter's,289,185,192,9-21,224,6-5,3-16,4-11,246,317,211,311,0-0,0-2,5-14,0-2
Liberty,290,235,329,12-21,313,2-11,10-10,4-11,296,228,337,299,0-2,0-1,2-4,0-3
Samford,291,219,298,10-21,291,1-11,9-10,4-12,276,144,291,131,0-3,0-3,1-5,0-6
Chattanooga,292,223,304,11-19,263,3-8,8-11,4-9,277,112,320,302,0-1,0-4,1-5,0-5
NewHampshire,293,200,248,8-20,292,3-8,5-12,3-13,243,290,277,291,0-1,0-2,1-13,0-3
Dartmouth,294,204,268,8-19,301,3-10,5-9,3-12,244,232,287,337,0-0,0-4,1-7,0-4
Siena,295,178,166,8-24,304,3-9,5-15,2-12,212,270,180,266,0-1,0-3,2-15,0-4
NichollsSt.,296,201,251,9-21,337,1-10,8-11,4-13,300,275,256,180,0-2,1-3,0-7,1-5
UtahValley,297,244,336,10-18,255,7-12,3-6,3-12,321,276,344,331,0-0,0-3,0-4,0-3
NJIT,298,257,346,12-13,318,6-10,6-3,4-9,347,346,325,292,0-0,0-3,0-2,0-3
UNCWilmington,299,203,264,9-20,252,4-7,5-13,1-15,270,233,245,272,0-0,0-3,2-9,0-3
FairleighDickinson,300,195,229,7-24,207,5-8,2-16,3-14,228,207,276,321,0-1,0-1,2-15,0-2
UMBC,301,187,200,7-23,332,1-11,6-12,1-14,183,223,272,249,0-1,0-3,3-13,0-4
VMI,302,253,344,11-17,325,2-8,9-9,5-10,340,322,334,300,0-0,0-0,1-7,0-0
Seattle,303,179,171,7-22,290,4-6,3-16,3-9,227,296,185,305,0-1,0-9,1-5,0-10
Tex.-PanAmerican,304,260,347,12-16,310,7-12,5-4,3-12,346,338,342,340,0-0,0-1,0-6,0-1
SIUEdwardsville,305,201,251,7-18,305,2-7,5-11,1-13,241,202,267,332,0-3,0-1,2-6,0-4
JacksonSt.,306,242,334,11-18,282,1-8,10-10,4-14,344,242,335,18,0-1,0-3,0-6,0-4
Alcorn,307,214,287,9-23,270,1-12,8-11,4-14,294,63,326,40,0-3,0-5,1-5,0-8
La.-Monroe,308,164,136,4-23,258,1-5,3-18,1-13,138,52,168,115,0-3,0-2,0-13,0-5
HoustonBaptist,309,253,344,11-17,294,6-11,5-6,3-12,345,333,333,297,0-1,0-2,0-2,0-3
Milwaukee,310,170,144,6-24,312,3-10,3-14,1-15,187,291,164,226,0-1,1-5,1-11,1-6
CoppinSt.,311,205,270,7-24,251,2-12,5-12,4-14,266,114,282,79,0-2,0-4,1-7,0-6
Navy,312,203,264,7-23,306,5-10,2-13,2-13,214,295,307,346,0-0,0-3,1-9,0-3
UTMartin,313,196,231,7-21,316,2-9,5-12,2-13,259,237,213,254,0-4,1-0,1-8,1-4
PrairieView,314,245,337,12-19,298,2-8,10-11,3-13,341,261,345,107,0-1,0-1,1-8,0-2
SouthernUtah,315,225,309,9-20,314,1-7,8-13,2-12,295,195,309,145,0-1,0-5,0-3,0-6
Radford,316,247,340,10-19,303,3-9,7-10,4-12,335,302,332,309,0-0,0-2,1-5,0-2
MontanaSt.,317,240,333,11-17,347,1-6,10-11,3-10,337,347,297,108,0-0,1-4,0-1,1-4
OldDominion,318,187,200,5-25,296,2-10,3-15,2-10,171,113,257,288,0-1,1-1,1-12,1-2
EasternWash.,319,233,326,10-21,311,3-8,7-13,2-13,312,279,321,310,0-1,0-5,0-2,0-6
AustinPeay,320,201,251,6-23,320,2-11,4-12,2-12,238,234,264,325,0-2,0-1,1-9,0-3
ChicagoSt.,321,228,315,7-22,321,2-17,5-5,2-16,271,239,330,262,0-3,0-1,1-6,0-4
A&M-CorpusChristi,322,188,207,5-23,317,0-10,5-13,2-14,213,97,275,227,0-1,0-6,0-7,0-7
Rice,323,162,133,4-25,324,3-9,1-16,0-11,140,274,145,290,0-3,0-4,1-13,0-7
SaintFrancis(PA),324,188,207,5-24,331,0-11,5-13,2-14,216,161,236,221,0-1,0-1,1-16,0-2
Hofstra,325,187,200,6-25,315,2-10,4-15,1-14,211,208,238,260,0-0,1-0,0-17,1-0
UNCGreensboro,326,224,305,7-22,336,0-9,7-13,2-12,302,209,300,148,0-1,0-2,0-8,0-3
AlabamaSt.,327,237,331,9-22,319,1-11,8-11,3-14,330,178,346,196,0-2,0-2,0-7,0-4
AlabamaA&M,328,230,318,9-20,236,2-7,7-13,3-13,339,166,340,31,0-1,0-2,1-9,0-3
IUPUI,329,179,171,4-26,279,3-10,1-16,1-13,222,219,214,171,0-2,0-8,0-6,0-10
FloridaA&M,330,220,300,6-23,335,1-11,5-12,1-17,311,284,308,239,0-0,0-2,0-10,0-2
Citadel,331,232,322,6-22,342,1-8,5-14,3-12,318,301,324,334,0-0,0-3,0-8,0-3
NorthernIll.,332,197,235,4-25,343,1-11,3-14,2-14,281,314,225,236,0-1,0-4,1-6,0-5
Longwood,333,231,320,6-25,328,1-12,5-13,2-14,314,236,313,175,0-3,0-1,0-5,0-4
Howard,334,224,305,6-23,288,2-10,4-13,2-13,316,147,310,209,0-2,0-1,0-8,0-3
Lamar,335,192,222,3-28,299,2-11,1-17,1-17,250,191,255,188,0-1,0-8,1-4,0-9
IdahoSt.,336,224,305,5-24,340,0-9,5-15,1-14,299,258,305,161,0-1,0-4,0-5,0-5
PortlandSt.,337,229,316,6-20,330,1-5,5-15,0-14,320,294,302,59,0-2,0-4,0-1,0-6
Binghamton,338,197,235,2-27,341,1-11,1-16,1-14,220,285,287,320,0-1,0-4,0-10,0-5
UCRiverside,339,194,226,4-24,345,1-9,3-15,1-13,305,334,226,168,0-0,0-1,1-11,0-1
SouthCarolinaSt.,340,220,300,4-24,308,2-9,2-15,0-15,251,174,341,333,0-1,0-2,0-8,0-3
KennesawSt.,341,201,251,3-27,323,1-11,2-16,1-15,278,231,281,282,0-2,0-5,1-2,0-7
Presbyterian,342,231,320,5-24,338,1-11,4-13,1-15,317,289,314,276,0-2,0-1,1-6,0-3
Furman,343,236,330,5-24,346,1-8,4-16,1-14,328,335,329,329,0-0,0-2,0-7,0-2
MississippiVal.,344,232,322,5-23,334,0-10,5-13,1-16,334,198,339,86,0-2,0-2,0-7,0-4
UMES,345,213,284,2-26,327,0-11,2-15,0-15,263,130,323,229,0-2,0-2,0-7,0-4
NewOrleans,346,238,332,4-18,344,4-18,0-0,0-13,342,337,304,341,0-2,0-1,0-2,0-3
Grambling,347,248,342,0-28,339,0-9,0-19,0-18,343,248,347,220,0-1,0-1,0-6,0-2
