SCHOOLNAME,RPI,ORIGRPI,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,201-999,VTOP100,VBELOW164
SouthAla.,193,193,10-16,165,4-6,17,6-10,3-10,3-7,0-2,2-3,3-8,5-3,2-5,7-7
SouthCarolina,47,50,23-11,72,13-2,2,10-9,5-6,4-6,7-7,5-3,3-1,8-0,12-10,8-0
SouthCarolinaSt.,217,218,17-11,260,2-6,32,15-5,6-6,7-3,0-1,0-2,1-3,16-5,0-3,16-6
SouthFla.,219,225,7-20,136,6-5,6,1-15,1-11,1-9,0-10,0-3,5-7,2-0,0-13,4-3
SoutheastMoSt.,270,269,9-16,138,5-4,23,4-12,2-11,2-8,0-2,0-4,3-1,6-9,0-6,7-9
SoutheasternLa.,179,176,16-9,183,4-3,29,12-6,5-7,6-4,0-1,0-1,3-3,13-4,0-2,16-7
SouthernCalifornia,113,115,13-15,78,5-4,9,8-11,6-7,4-6,1-6,1-4,10-4,1-1,2-10,5-2
SouthernIll.,33,32,25-5,47,7-3,11,18-2,11-2,7-3,0-2,7-2,10-1,8-0,7-4,15-0
SouthernMethodist,170,173,12-18,131,6-4,10,6-14,5-9,3-7,2-6,1-6,4-4,5-2,3-12,8-2
SouthernMiss.,126,125,12-15,87,6-4,6,6-11,2-10,3-7,1-7,1-4,6-3,4-1,2-11,8-2
SouthernU.,286,285,11-16,284,2-6,31,9-10,4-11,4-6,0-1,0-0,0-6,11-9,0-1,11-13
SouthernUtah,261,262,8-18,235,2-7,20,6-11,3-11,4-6,0-3,0-0,3-11,5-4,0-3,5-10
SouthwestMoSt.,102,99,19-14,112,8-4,11,11-10,4-8,4-6,1-3,4-7,7-2,7-2,5-10,12-4
StBonaventure,200,205,7-21,143,4-7,8,3-14,0-12,1-9,0-8,1-8,3-3,3-2,1-16,6-5
StFrancis(N.Y.),225,223,15-13,313,3-6,25,12-7,6-7,5-5,0-0,0-0,2-6,13-7,0-0,13-9
StFrancis(Pa.),248,245,13-15,277,3-6,25,10-9,3-13,5-5,0-1,0-1,2-3,11-10,0-2,12-11
StJohn's(N.Y.),158,163,6-21,97,5-6,3,1-15,1-10,2-8,0-11,1-4,2-6,3-0,1-15,3-0
StJoseph's,4,3,30-2,1,14-1,8,16-1,14-0,8-2,7-2,9-0,12-0,2-0,16-2,8-0
StLouis,61,63,19-13,86,8-5,6,11-8,4-7,6-4,4-10,2-2,8-1,5-0,6-12,7-0
StMary's(Cal.),110,106,16-12,164,6-6,12,10-6,5-7,7-3,0-5,0-1,11-4,5-2,0-6,7-4
StPeter's,103,104,17-12,108,4-5,16,13-7,6-8,5-5,0-4,0-2,9-6,8-0,0-6,14-1
Stanford,14,11,30-2,35,10-1,9,20-1,10-1,8-2,4-1,7-1,14-0,5-0,11-2,10-0
StephenFAustin,173,170,17-9,145,5-2,29,12-7,5-9,6-4,0-0,0-0,3-4,14-5,0-0,17-8
Stetson,229,229,10-15,299,0-4,21,10-11,4-8,5-5,0-1,0-7,1-4,9-3,0-8,9-3
StonyBrook,266,266,10-20,274,3-6,22,7-14,3-10,4-6,0-2,1-2,1-8,8-8,1-4,8-8
Syracuse,13,15,23-8,19,12-2,3,11-6,6-3,7-3,9-8,4-0,6-0,4-0,13-8,6-0
TCU,122,121,12-17,168,4-7,6,8-10,3-7,4-6,1-10,2-2,5-5,4-0,3-12,8-3
Temple,100,101,15-14,95,6-6,8,9-8,6-7,6-4,1-9,3-2,9-3,2-0,4-11,8-2
Tenn.-Martin,259,259,8-18,162,3-7,23,5-11,1-13,4-6,0-3,0-4,2-3,6-8,0-7,7-9
Tennessee,80,78,15-14,127,8-4,2,7-10,1-10,4-6,3-11,3-3,3-0,6-0,6-14,7-0
TennesseeSt.,292,291,6-20,292,0-9,23,6-11,2-14,3-7,0-2,0-6,0-4,6-8,0-8,6-9
TennesseeTech,227,224,10-15,149,3-5,23,7-10,2-11,4-6,0-2,0-6,1-2,9-5,0-8,9-7
TexA&M-CorpChris,188,186,11-11,150,9-9,30,2-2,5-8,6-4,0-1,1-3,1-3,9-4,1-4,10-5
Tex.-PanAmerican,214,213,10-14,228,6-14,30,4-0,4-10,9-1,0-2,1-1,4-4,5-7,1-3,9-10
Texas,9,9,25-8,14,11-3,4,14-5,6-3,6-4,10-6,4-1,3-1,8-0,14-7,9-0
TexasA&M,242,246,7-21,220,7-4,4,0-17,2-11,0-10,0-9,0-6,1-3,6-3,0-15,7-5
TexasSouthern,289,286,13-15,307,3-6,31,10-9,2-12,5-5,0-0,0-1,1-4,12-10,0-1,12-11
TexasSt.,275,276,9-14,263,1-5,29,8-9,3-8,2-8,0-0,0-1,1-8,8-5,0-1,9-11
TexasTech,30,30,23-11,18,13-3,4,10-8,4-7,5-5,5-8,5-2,8-1,5-0,10-10,6-1
Texas-Arlington,208,206,14-12,238,2-6,29,12-6,5-8,9-1,0-1,0-1,4-6,10-4,0-2,14-8
Texas-SanAntonio,196,190,16-13,267,2-8,29,14-5,7-4,8-2,0-2,0-1,3-4,13-6,0-3,16-9
Toledo,98,97,20-11,77,6-4,14,14-7,8-9,4-6,2-4,0-3,8-3,10-1,2-7,14-2
Towson,279,281,8-21,308,3-6,13,5-15,2-12,2-8,0-0,0-9,2-7,6-5,0-9,6-5
Troy,73,69,23-6,133,3-3,21,20-3,11-4,8-2,0-1,3-3,4-2,16-0,3-4,17-0
Tulane,182,184,10-17,181,6-4,6,4-13,0-9,4-6,1-9,1-2,2-6,6-0,2-11,7-1
Tulsa,194,199,9-20,158,4-6,10,5-14,2-11,2-8,0-6,2-5,3-9,4-0,2-11,5-3
UAB,31,31,22-10,30,9-5,6,13-5,5-5,6-4,5-8,4-0,10-2,3-0,9-8,6-1
UCIrvine,218,216,10-17,174,4-5,18,6-12,1-11,2-8,0-1,0-5,4-6,6-5,0-6,7-7
UCRiverside,247,249,10-17,253,2-5,18,8-12,2-12,5-5,0-0,0-5,4-7,6-5,0-5,8-7
UCSantaBarb.,149,151,15-12,107,5-3,18,10-9,5-6,4-6,0-1,1-4,4-4,10-3,1-5,11-5
UCF,66,65,24-6,123,4-3,21,20-3,11-3,8-2,0-2,5-2,1-2,18-0,5-4,18-0
UCLA,128,132,11-17,103,4-5,9,7-12,2-9,2-8,1-7,3-2,6-8,1-0,4-9,4-2
UMBC,298,299,7-21,272,3-6,22,4-15,4-11,1-9,0-0,0-2,0-12,7-7,0-2,7-7
UMKC,204,200,15-14,225,5-6,20,10-8,5-8,6-4,0-0,0-0,7-8,8-6,0-0,10-7
UNCAsheville,272,273,7-20,254,0-9,28,7-11,4-12,5-5,0-3,0-3,0-6,7-8,0-6,7-9
UNCGreensboro,254,254,10-17,257,3-7,19,7-10,4-11,5-5,0-1,0-5,3-5,7-6,0-6,8-7
UNCWilmington,134,137,15-15,146,4-5,13,11-10,4-10,5-5,0-2,1-8,6-3,8-2,1-10,8-2
UNLV,88,89,17-13,80,8-5,7,9-8,4-8,6-4,0-7,2-3,12-2,3-1,2-10,5-1
UTEP,50,49,22-8,59,7-2,10,15-6,6-5,6-4,2-4,3-4,13-0,4-0,5-8,11-0
Utah,38,38,23-9,51,11-4,7,12-5,6-5,6-4,2-5,5-2,12-2,4-0,7-7,6-0
UtahSt.,51,47,24-4,46,7-2,18,17-2,10-2,7-3,1-1,1-2,10-1,12-0,2-3,17-1
VMI,313,311,4-22,316,0-9,28,4-13,0-13,2-8,0-1,0-2,1-6,3-13,0-3,3-14
VaCommonwealth,59,59,23-8,83,6-4,13,17-4,8-5,8-2,0-4,5-1,9-3,9-0,5-5,11-0
Valparaiso,127,127,17-13,203,3-8,20,14-5,5-6,7-3,0-3,0-3,5-3,12-4,0-6,13-5
Vanderbilt,24,24,23-10,13,13-1,2,10-9,4-6,6-4,8-7,7-2,2-1,6-0,15-9,6-0
Vermont,115,114,22-9,251,4-6,22,18-3,10-5,6-4,0-2,1-2,4-4,17-1,1-4,17-3
Villanova,60,61,17-16,41,9-4,3,8-12,5-7,4-6,3-13,3-1,9-2,2-0,6-14,3-0
Virginia,55,54,18-13,62,11-2,1,7-11,3-8,6-4,3-11,6-2,3-0,6-0,9-13,7-0
VirginiaTech,101,100,15-14,200,7-4,3,8-10,3-7,6-4,3-8,2-3,3-3,7-0,5-11,7-0
Wagner,214,212,12-16,236,2-7,25,10-9,6-9,6-4,0-1,0-2,0-5,12-8,0-3,12-8
WakeForest,15,16,21-10,8,12-2,1,9-8,5-5,6-4,9-8,6-2,2-0,4-0,15-10,5-0
Washington,64,68,19-12,134,5-5,9,14-7,6-7,7-3,4-5,1-1,11-6,3-0,5-6,7-1
WashingtonSt.,150,149,12-16,197,5-4,9,7-12,5-8,4-6,0-6,0-5,9-4,3-1,0-11,5-3
WeberSt.,189,183,13-14,122,5-6,24,8-8,5-8,5-5,0-3,0-2,2-3,11-6,0-5,12-6
WestVirginia,83,84,17-14,54,10-3,3,7-11,4-7,4-6,3-9,4-2,7-3,3-0,7-11,4-0
WesternCaro.,237,236,9-15,199,3-4,19,6-11,3-9,3-7,0-0,0-3,2-8,7-4,0-3,8-6
WesternIll.,310,312,3-24,282,2-9,20,1-15,0-14,0-10,0-1,0-1,0-14,3-8,0-2,3-11
WesternKy.,145,146,13-13,121,5-6,17,8-7,5-8,7-3,0-2,1-4,7-7,5-0,1-6,9-4
WesternMich.,49,45,26-5,58,8-2,14,18-3,8-4,8-2,1-1,4-2,10-2,11-0,5-3,14-0
WichitaSt.,75,74,20-11,67,7-4,11,13-7,7-4,6-4,1-3,3-4,10-3,6-1,4-7,14-2
WilliamMary,264,265,7-21,219,3-6,13,4-15,1-13,2-8,0-1,1-7,2-8,4-5,1-8,4-5
Winthrop,212,211,14-12,188,4-5,28,10-7,5-7,5-5,0-2,1-0,0-6,13-4,1-2,13-5
Wis.-GreenBay,139,138,16-11,198,5-5,15,11-6,6-8,5-5,0-1,1-6,5-3,10-1,1-7,12-1
Wis.-Milwaukee,72,72,19-11,91,5-7,15,14-4,7-7,5-5,0-4,2-4,9-2,8-1,2-8,10-1
Wisconsin,11,13,25-7,21,10-3,5,15-4,5-6,8-2,8-5,5-1,10-1,2-0,13-6,3-0
Wofford,273,275,6-20,268,1-7,19,5-13,2-13,3-7,0-3,0-3,2-9,4-5,0-6,4-7
WrightSt.,171,167,14-13,213,4-6,15,10-7,6-8,4-6,0-1,1-5,4-4,9-3,1-6,9-4
Wyoming,130,136,11-17,93,7-6,7,4-11,0-11,2-8,2-5,1-5,4-7,4-0,3-10,4-1
Xavier,27,28,26-11,17,12-5,8,14-6,7-6,9-1,9-5,6-3,6-3,5-0,15-8,11-2
Yale,209,214,11-15,151,4-8,27,7-7,3-10,6-4,0-3,0-2,1-6,10-4,0-5,10-5
YoungstownSt.,260,261,7-20,211,3-7,15,4-13,1-14,2-8,0-1,1-6,0-11,6-2,1-7,6-5
