SCHOOLNAME,RPI,OPPONENT RPI RANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD ROAD L10,1-25,26-50,51-100 101-150,VTOP100,VBELOW150
Santa Clara,114,148,134,18-12,124,8-6,15,10-6,6-6,7-3,0-1,2-6,1-2,3-2,3-9,12-1
Rutgers,115,109,57,15-16,66,9-5,3,6-11,4-7,3-7,0-4,1-5,3-4,2-3,4-13,9-0
Akron,116,137,118,16-11,140,5-3,11,11-8,6-8,3-7,0-0,1-5,4-3,1-0,5-8,10-3
Detroit,117,167,171,18-12,129,8-5,16,10-7,4-9,6-4,0-0,1-4,1-1,2-3,2-5,14-4
Alabama,118,95,24,13-16,93,7-5,1,6-11,0-10,3-7,2-5,0-1,4-4,2-4,6-10,5-2
Samford,119,201,267,20-10,88,5-4,27,15-6,6-6,8-2,1-1,0-1,0-1,1-1,1-3,18-6
UAB,120,116,74,14-14,61,7-4,7,7-10,1-10,3-7,0-3,3-0,1-8,3-2,4-11,7-1
St. Joseph's,121,110,58,13-16,75,5-6,8,8-10,4-9,4-6,1-3,0-5,1-2,6-4,2-10,5-2
Navy,122,215,299,21-6,182,9-4,25,12-2,7-4,9-1,0-0,0-1,0-1,3-3,0-2,18-1
George Washington,123,118,79,15-15,123,6-7,8,9-8,4-8,6-4,1-2,4-1,1-4,4-4,6-7,5-4
Fordham,124,125,96,14-15,81,7-5,8,7-10,6-8,5-5,0-3,3-1,1-3,2-7,4-7,8-1
Winthrop,125,199,263,18-9,156,5-6,26,13-3,7-7,8-2,0-2,0-1,1-0,1-1,1-3,16-5
Bradley,126,119,81,14-16,141,4-7,12,10-9,2-10,4-6,0-2,2-3,2-5,3-2,4-10,7-4
Milwaukee,127,151,142,14-14,73,7-5,16,7-9,3-10,5-5,0-3,0-5,0-0,2-1,0-8,12-5
Montana,128,152,144,15-11,186,3-6,14,12-5,6-5,8-2,0-0,0-2,4-5,1-1,4-7,10-3
Evansville,129,147,133,18-12,96,9-2,12,9-10,4-7,3-7,0-0,0-5,1-5,2-1,1-10,15-1
San Francisco,130,174,189,18-9,58,11-1,15,7-8,8-5,6-4,0-1,1-4,0-0,2-3,1-5,15-1
South Fla.,131,131,104,17-14,146,9-5,7,8-9,4-10,4-6,1-2,0-3,5-2,2-6,6-7,9-1
Eastern Mich.,132,133,106,13-13,116,4-3,11,9-10,6-8,4-6,0-1,1-4,2-4,1-2,3-9,9-2
Florida St.,133,100,35,12-17,148,5-6,4,7-11,3-9,4-6,1-9,2-1,2-3,0-2,5-13,7-2
Minnesota,134,89,12,12-16,50,8-3,2,4-13,1-10,1-9,1-6,0-6,4-3,1-0,5-15,6-1
Niagara,135,184,220,17-12,108,6-3,18,11-9,6-9,5-5,0-2,0-1,1-4,1-1,1-7,15-4
Radford,136,207,280,17-10,190,5-7,26,12-3,8-8,7-3,0-1,0-0,1-1,2-2,1-2,14-6
Eastern Ill.,137,167,171,15-12,176,3-4,17,12-8,5-9,7-3,0-0,1-1,0-6,2-2,1-7,12-3
Fairfield,138,157,150,14-15,166,2-7,18,12-8,5-10,5-5,0-2,0-1,2-6,1-2,2-9,11-4
Virginia Tech,139,135,112,16-15,165,7-6,8,9-9,4-9,6-4,0-3,1-2,3-2,4-4,4-7,8-4
Mississippi St.,140,121,84,14-16,136,9-4,1,5-12,2-8,2-8,1-7,0-0,2-4,1-3,3-11,10-2
Hawaii,141,139,120,17-12,85,11-2,9,6-10,1-8,3-7,0-2,1-4,3-3,2-1,4-9,11-2
Pittsburgh,142,117,75,13-15,98,8-3,3,5-12,3-7,4-6,0-5,1-4,2-3,2-1,3-12,8-2
Robert Morris,143,194,250,17-12,245,2-6,24,15-6,7-6,8-2,0-0,0-0,1-4,0-4,1-4,16-4
La.-Monroe,144,194,250,17-9,162,4-3,23,13-6,7-6,6-4,0-0,0-0,1-2,1-2,1-2,15-5
Memphis,145,108,55,14-16,144,6-6,7,8-10,3-8,6-4,0-2,1-3,4-7,5-1,5-12,4-3
Austin Peay,146,181,211,16-10,126,5-2,17,11-8,7-6,8-2,0-0,1-0,1-4,1-2,2-4,13-4
Bucknell,147,194,250,16-11,121,8-6,25,8-5,7-6,6-4,0-0,0-0,2-4,1-4,2-4,13-3
Oregon St.,148,100,35,11-16,82,6-3,6,5-13,2-9,3-7,1-3,0-5,2-7,0-1,3-15,8-0
Fairleigh Dickinson,149,193,246,16-11,207,3-5,24,13-6,7-7,8-2,0-1,0-1,1-1,1-1,1-3,14-7
Baylor,150,124,93,13-15,80,8-2,5,5-13,2-7,3-7,0-9,0-0,2-4,0-0,2-13,11-2
Cleveland St.,151,162,157,15-14,185,6-8,16,9-6,6-7,5-5,0-2,2-3,0-1,2-4,2-6,11-4
Tennessee Tech,152,176,197,14-12,175,3-4,17,11-8,5-9,5-5,0-1,0-0,0-5,3-2,0-6,11-4
Davidson,153,168,173,12-13,149,2-6,22,10-7,5-9,5-5,0-2,1-0,2-4,0-0,3-6,9-7
Quinnipiac,154,208,282,17-10,199,5-4,24,12-6,7-7,6-4,0-0,0-2,0-2,1-4,0-4,16-2
UTEP,155,127,99,13-15,71,9-4,9,4-11,2-9,3-7,0-2,1-3,1-4,5-2,2-9,6-4
St. Francis (N.Y.),156,197,260,17-12,192,4-5,24,13-7,7-7,6-4,0-1,0-0,1-3,1-3,1-4,15-5
UNI,157,137,118,14-15,90,7-3,12,7-12,2-10,3-7,0-1,1-4,2-3,2-3,3-8,9-4
Ga. Southern,158,199,263,15-12,157,5-5,22,10-7,6-9,6-4,0-1,0-0,0-3,0-3,0-4,15-5
Washington,159,100,35,9-20,172,4-7,6,5-13,5-9,3-7,0-5,2-3,1-8,0-3,3-16,6-1
San Jose St.,160,140,122,11-15,194,5-6,9,6-9,3-9,4-6,0-2,0-2,2-3,2-6,2-7,7-2
Alcorn St.,161,223,310,17-10,236,1-6,33,16-4,6-9,9-1,0-2,0-0,0-2,0-1,0-4,17-5
Green Bay,162,146,132,14-16,113,8-7,16,6-9,1-11,4-6,0-1,1-3,3-1,2-5,4-5,8-6
Northern Ill.,163,135,112,12-15,142,5-3,11,7-12,4-11,3-7,1-0,1-4,2-5,1-3,4-9,7-3
Vermont,164,199,263,16-12,195,5-4,21,11-8,7-9,7-3,0-1,1-2,1-3,0-0,2-6,14-6
UTSA,165,187,229,12-12,233,0-5,23,12-7,5-9,6-4,0-2,0-0,2-0,0-3,2-2,10-7
Georgia St.,166,200,266,17-12,171,3-6,27,14-6,8-5,8-2,0-1,0-1,0-1,1-4,0-3,16-5
Boston College,167,105,46,11-19,100,8-5,3,3-14,1-9,2-8,0-6,1-4,0-5,3-3,1-15,7-1
Kansas St.,168,100,35,9-19,56,7-4,5,2-15,1-11,1-9,0-10,0-0,1-5,1-1,1-15,7-3
Texas Tech,169,122,85,11-16,92,8-2,5,3-14,3-8,3-7,0-9,0-0,1-4,1-1,1-13,9-2
Middle Tenn.,170,171,181,13-13,202,2-4,17,11-9,4-8,7-3,0-2,0-0,2-3,0-4,2-5,11-4
Northwestern St.,171,193,246,15-13,282,2-5,23,13-8,4-10,6-4,0-0,0-0,1-3,2-1,1-3,12-9
Georgia Tech,172,112,65,13-17,138,8-5,4,5-12,0-9,4-6,1-8,0-2,2-2,2-3,3-12,8-2
La Salle,173,127,99,11-17,119,6-5,8,5-12,3-9,4-6,0-2,0-5,3-1,3-6,3-8,5-3
Georgia,174,98,32,10-20,173,7-6,1,3-14,1-11,1-9,0-9,1-2,1-6,2-3,2-17,6-0
Lamar,175,182,214,15-16,145,4-6,23,11-10,2-12,5-5,0-2,0-0,0-5,2-2,0-7,13-7
Troy,176,218,302,16-11,213,3-5,27,13-6,5-7,5-5,0-0,0-0,0-2,1-2,0-2,15-7
Rider,177,182,214,16-14,111,7-3,18,9-11,5-9,4-6,0-0,0-0,3-5,3-4,3-5,10-5
UNC Greensboro,178,195,256,14-13,169,5-5,22,9-8,6-9,6-4,0-0,0-1,0-4,1-1,0-5,13-7
Florida Int'l,179,169,178,15-14,120,6-6,20,9-8,5-4,5-5,0-0,0-3,0-3,3-3,0-6,12-5
Clemson,180,110,58,10-20,183,6-7,4,4-13,2-8,3-7,0-7,0-2,2-4,3-3,2-13,5-4
VCU,181,158,153,14-14,143,7-4,13,7-10,2-10,4-6,0-0,1-0,3-7,3-1,4-7,7-6
Bethune-Cookman,182,211,288,14-14,250,1-7,31,13-7,5-11,6-4,0-2,0-1,0-2,0-1,0-5,14-8
Drexel,183,176,197,13-17,237,3-7,21,10-10,5-11,4-6,0-0,0-4,0-6,1-0,0-10,12-7
Nebraska,184,113,69,11-19,137,7-6,5,4-13,0-9,1-9,0-8,0-0,1-5,4-3,1-13,6-3
William & Mary,185,149,136,10-17,134,4-6,13,6-11,1-12,4-6,0-1,0-0,2-6,0-6,2-7,8-4
Texas-Arlington,186,193,246,13-12,208,2-4,23,11-8,6-7,4-6,0-0,0-0,0-2,0-5,0-2,13-5
South Carolina St.,187,220,306,20-14,284,3-9,31,17-5,8-9,8-2,0-1,0-2,0-0,0-3,0-3,20-8
Alabama A&M,188,228,313,15-10,293,1-6,33,14-4,6-8,7-3,0-0,0-0,0-0,0-5,0-0,15-5
Western Mich.,189,127,99,10-18,152,4-4,11,6-14,3-12,2-8,0-0,1-3,3-5,1-6,4-8,5-4
Coppin St.,190,204,273,15-15,252,0-9,31,15-6,7-9,8-2,0-3,0-1,0-3,0-0,0-7,15-8
Arkansas St.,191,155,147,10-18,151,3-8,20,7-10,3-10,5-5,0-2,0-1,0-3,2-7,0-6,8-5
