SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRECORD,ROAD,L10,1-50,51-100,101-200,201-999,VTOP100,VBELOW201
WesternCaro.,189,195,224,14-15,161,3-5,11-10,3-11,6-6,0-3,0-1,5-7,9-4,0-4,12-9
SouthFla.,190,100,20,9-22,185,5-7,4-15,1-11,2-10,1-10,2-5,1-7,5-0,3-15,5-2
SanJoseSt.,191,164,150,11-17,222,5-6,6-11,5-10,4-8,0-3,0-4,3-7,8-3,0-7,10-5
Georgia,192,123,62,12-20,147,9-6,3-14,1-9,3-9,0-6,4-9,2-4,6-1,4-15,8-1
StBonaventure,193,171,162,15-15,177,9-4,6-11,7-7,4-8,0-4,0-4,6-3,9-4,0-8,11-4
SanDiego,194,159,138,14-16,119,7-7,7-9,4-7,4-8,0-6,2-3,5-5,7-2,2-9,10-5
Loyola(MD),195,153,123,12-20,176,5-8,7-12,6-10,4-8,0-5,0-5,3-6,9-4,0-10,10-5
Rutgers,196,126,71,11-21,115,9-4,2-17,3-10,2-10,0-9,0-7,3-4,8-1,0-16,9-2
StonyBrook,197,205,257,15-14,199,7-5,8-9,9-6,7-5,0-1,0-5,5-2,10-6,0-6,15-7
SantaClara,198,171,162,14-17,238,6-9,8-8,4-10,8-4,1-5,1-2,6-5,6-5,2-7,10-7
CalStFullerton,199,193,212,14-17,178,6-7,8-10,7-7,5-7,0-3,0-0,4-7,10-7,0-3,13-9
UNCAsheville,200,188,198,12-16,201,2-8,10-8,4-13,7-5,0-4,0-1,3-6,9-5,0-5,10-6
NewHampshire,201,193,212,13-16,286,4-7,9-9,5-10,7-5,0-0,0-7,7-4,6-5,0-7,13-8
GeorgeWashington,202,144,108,10-18,135,6-6,4-12,3-10,4-8,0-3,2-5,4-6,4-4,2-8,7-5
Canisius,203,154,126,11-20,112,6-5,5-15,5-12,4-8,0-6,0-5,6-5,5-4,0-11,10-8
IndianaSt.,204,138,96,10-21,306,2-9,8-12,4-10,7-5,2-4,1-6,3-7,4-4,3-10,6-8
DePaul,205,106,33,9-24,101,8-5,1-19,1-11,1-11,0-12,1-6,4-6,4-0,1-18,6-3
UCRiverside,206,216,297,16-13,217,8-4,8-9,6-10,6-6,0-0,0-1,7-7,9-5,0-1,15-8
IdahoSt.,207,161,144,12-19,183,2-11,10-8,2-14,6-6,1-4,0-4,3-7,8-4,1-8,9-6
Lamar,208,185,187,11-15,124,6-5,5-10,5-9,4-8,0-2,0-2,4-7,7-4,0-4,10-9
Charlotte,209,130,77,11-20,164,6-8,5-12,2-10,5-7,2-4,1-5,2-9,6-2,3-9,7-4
MontanaSt.,210,190,204,13-17,191,5-6,8-11,7-11,4-8,0-0,0-2,7-9,6-6,0-2,10-11
MissouriSt.,211,137,92,11-20,73,8-4,3-16,2-11,2-10,0-5,2-7,4-6,5-2,2-12,7-6
ColoradoSt.,212,132,79,9-21,202,5-8,4-13,2-11,2-10,0-7,2-7,2-3,5-4,2-14,7-5
Iona,213,166,153,12-19,227,5-7,7-12,5-10,3-9,1-5,1-1,3-8,7-5,2-6,9-10
Loyola(IL),214,168,155,13-17,163,7-4,6-13,5-9,3-9,1-2,1-6,2-7,9-2,2-8,11-4
Presbyterian,215,190,204,12-17,230,12-17,0-0,3-14,6-6,0-3,0-3,4-6,8-5,0-6,10-7
Indiana,216,81,2,5-25,153,4-7,1-18,0-11,1-11,0-14,0-8,3-2,2-1,0-22,3-1
FIU,217,169,157,12-19,190,4-7,8-12,3-12,5-7,1-4,0-5,2-7,9-3,1-9,10-5
Gardner-Webb,218,193,212,10-17,243,2-8,8-9,6-12,5-7,0-1,0-3,3-9,7-4,0-4,8-7
Towson,219,154,126,12-22,219,5-8,7-14,4-11,4-8,0-3,1-5,4-10,7-4,1-8,9-5
CoppinSt.,220,200,238,12-19,244,2-11,10-8,4-14,8-4,0-7,0-0,0-5,12-7,0-7,12-8
Rice,221,146,115,10-22,165,5-9,5-13,2-11,4-8,0-6,1-6,3-7,6-3,1-12,9-8
FresnoSt.,222,161,144,12-21,184,8-7,4-14,3-10,4-8,0-6,1-2,3-11,8-2,1-8,9-7
EastCarolina,223,155,130,10-17,159,5-5,5-12,3-10,3-9,1-4,0-4,3-7,6-2,1-8,9-8
Stetson,224,194,218,11-17,269,6-9,5-8,3-12,5-7,0-3,0-2,2-7,9-5,0-5,9-7
Delaware,225,169,157,13-19,196,7-6,6-13,3-11,5-7,1-1,1-4,5-7,6-7,2-5,9-8
Denver,226,206,264,15-16,235,5-6,10-10,2-12,7-5,1-0,0-4,3-5,11-7,1-4,13-8
Samford,227,211,280,14-16,171,3-4,11-12,4-12,5-7,0-1,0-2,3-10,11-3,0-3,14-10
IPFW,228,201,243,12-17,166,4-6,8-11,5-11,6-6,0-4,0-3,1-4,11-6,0-7,11-6
CentralConnSt.,229,213,287,13-17,187,5-6,8-11,5-12,5-7,0-1,1-2,1-8,11-6,1-3,11-11
Yale,230,228,316,12-15,288,4-9,8-6,5-12,6-6,0-0,0-1,3-6,9-8,0-1,11-10
EasternWash.,231,184,185,11-17,143,5-7,6-10,3-13,3-9,0-4,0-0,3-7,8-6,0-4,9-8
Quinnipiac,232,233,323,15-16,298,4-7,11-9,9-7,7-5,0-0,0-2,1-7,14-7,0-2,15-9
GeorgiaSt.,233,160,140,10-20,329,1-9,9-11,4-10,7-5,0-5,1-2,2-8,7-5,1-7,7-7
ChicagoSt.,234,244,334,17-13,247,7-11,10-2,6-9,8-4,0-2,0-3,0-3,17-5,0-5,17-8
Colorado,235,125,66,8-22,206,7-6,1-16,0-10,0-12,0-9,0-7,1-4,7-2,0-16,8-4
Lipscomb,236,228,316,15-14,310,8-7,7-7,5-10,9-3,0-0,0-0,5-5,10-9,0-0,12-9
UCIrvine,237,192,209,12-18,273,4-9,8-9,5-10,6-6,0-3,0-0,4-9,8-6,0-3,10-12
UtahValley,238,234,325,15-11,195,8-8,7-3,4-7,9-3,0-1,1-2,1-3,13-5,1-3,14-8
YoungstownSt.,239,156,133,9-19,296,2-7,7-12,4-10,5-7,0-2,2-7,3-4,4-6,2-9,6-7
LongIsland,240,238,327,16-14,311,4-7,12-7,4-11,7-5,0-0,0-0,2-5,14-9,0-0,15-11
IUPUI,241,213,287,13-14,220,4-4,9-10,7-7,7-5,0-1,0-3,1-5,12-5,0-4,12-6
Hawaii,242,168,155,13-17,174,8-5,5-12,2-7,4-8,0-3,0-2,4-8,9-4,0-5,12-7
ArkansasSt.,243,194,218,11-17,141,6-3,5-14,4-12,1-11,0-2,0-3,2-6,9-6,0-5,9-8
Hampton,244,226,313,15-16,207,6-7,9-9,6-8,6-6,0-2,1-0,3-2,11-12,1-2,11-12
WilliamMary,245,160,140,9-20,193,4-6,5-14,2-11,4-8,0-2,1-3,2-11,6-4,1-5,6-7
Harvard,246,231,320,13-14,212,7-6,6-8,7-8,5-7,0-0,1-1,3-2,9-11,1-1,11-12
SoutheasternLa.,247,193,212,9-17,258,4-7,5-10,4-12,5-7,0-2,0-4,2-7,7-4,0-6,8-9
Wagner,248,241,331,16-14,229,8-3,8-11,8-8,6-6,0-0,0-1,3-4,13-9,0-1,14-10
AppalachianSt.,249,198,230,12-18,260,2-6,10-12,5-9,5-7,0-2,0-3,3-8,9-5,0-5,12-10
SanFrancisco,250,170,159,9-19,170,6-7,3-12,3-13,3-9,0-6,0-1,4-8,5-4,0-7,8-9
Ark.-PineBluff,251,220,304,13-18,245,1-10,12-8,6-14,6-6,0-5,0-3,0-6,13-4,0-8,13-9
StPeter's,252,179,181,11-19,333,3-8,8-11,4-11,6-6,0-4,0-2,3-8,8-5,0-6,10-10
Bethune-Cookman,253,245,336,14-16,272,4-8,10-8,7-10,6-6,0-1,0-1,1-4,13-10,0-2,13-11
Lehigh,254,239,329,15-14,192,10-4,5-10,7-8,4-8,0-0,0-2,3-6,12-6,0-2,15-10
Winthrop,255,189,203,10-19,223,3-9,7-10,4-12,6-6,0-0,0-4,3-9,7-6,0-4,9-7
Campbell,256,222,306,12-16,315,6-9,6-7,4-10,7-5,0-0,0-0,5-6,7-10,0-0,10-10
SouthCarolinaSt.,257,242,332,13-14,301,2-7,11-7,5-8,9-3,0-1,0-1,1-3,12-9,0-2,12-9
SavannahSt.,258,208,272,11-14,204,6-10,5-4,2-11,6-6,0-4,0-2,2-2,9-6,0-6,10-6
Penn,259,206,264,10-18,242,4-10,6-8,6-8,5-7,0-3,0-1,0-8,10-6,0-4,10-9
Marist,260,158,137,10-23,221,5-8,5-15,1-13,3-9,1-5,1-3,1-9,7-6,2-8,7-12
Valparaiso,261,135,84,7-22,233,2-8,5-14,1-12,4-8,0-4,1-8,2-6,4-4,1-12,5-8
BallSt.,262,208,272,13-17,186,5-7,8-10,3-10,4-8,0-2,1-4,2-5,10-6,1-6,11-9
N.CA&T,263,238,327,13-16,276,4-8,9-8,4-13,8-4,0-1,0-3,0-5,13-7,0-4,13-10
UCDavis,264,202,247,13-19,305,5-9,8-10,5-9,4-8,0-0,0-0,5-14,8-5,0-0,13-10
JacksonvilleSt.,265,200,238,9-17,168,4-4,5-13,5-11,3-9,0-1,0-1,4-9,5-6,0-2,7-8
SouthernUtah,266,200,238,10-19,287,1-8,9-11,2-13,5-7,0-1,1-4,1-5,8-9,1-5,8-9
SMU,267,140,101,8-21,234,5-7,3-14,0-12,3-9,0-5,0-8,4-5,4-3,0-13,7-8
La.-Lafayette,268,175,173,9-20,251,2-8,7-12,1-13,4-8,0-4,0-2,3-7,6-7,0-6,6-10
TennesseeSt.,269,205,257,11-17,328,2-7,9-10,4-12,6-6,0-0,0-1,3-13,8-3,0-1,9-6
AirForce,270,150,121,8-21,211,7-4,1-17,1-9,1-11,0-7,0-6,0-6,8-2,0-13,8-6
TexasSt.,271,201,243,10-16,316,3-7,7-9,2-10,6-6,0-1,0-2,5-6,5-7,0-3,10-11
TennesseeTech,272,205,257,10-18,198,4-5,6-13,4-11,3-9,0-1,0-1,1-11,9-5,0-2,9-7
NorthernColo.,273,203,251,12-18,291,4-9,8-9,3-13,6-6,0-2,0-0,2-8,10-8,0-2,11-11
PrairieView,274,239,329,13-16,309,0-9,13-7,5-12,8-4,0-2,0-2,1-6,12-6,0-4,13-10
Elon,275,186,190,9-20,261,1-6,8-14,2-14,5-7,0-1,0-4,5-8,4-7,0-5,8-13
Pepperdine,276,155,130,7-23,300,1-13,6-10,2-11,5-7,0-7,0-2,2-10,5-4,0-9,7-7
UNCWilmington,277,144,108,7-25,226,4-9,3-16,1-14,3-9,1-3,0-4,1-13,5-5,1-7,5-5
StFrancis(NY),278,211,280,10-20,279,3-8,7-12,4-14,5-7,0-0,0-1,2-12,8-7,0-1,9-12
Colgate,279,220,304,10-20,318,4-10,6-10,6-13,4-8,0-2,0-2,1-7,9-9,0-4,10-16
Army,280,227,315,11-19,317,4-10,7-9,4-12,6-6,0-0,0-5,1-4,10-10,0-5,11-13
Detroit,281,155,130,6-23,239,4-6,2-17,3-15,3-9,0-4,0-7,1-5,5-7,0-11,5-10
NewOrleans,282,199,232,10-18,271,4-5,6-13,2-13,3-9,0-1,0-3,3-6,7-8,0-4,9-9
SouthDakotaSt.,283,203,251,11-20,281,3-8,8-12,1-15,5-7,0-2,0-3,3-7,8-8,0-5,9-11
Princeton,284,246,338,12-14,323,4-8,8-6,5-8,6-6,0-0,0-1,1-4,11-9,0-1,11-12
S.CUpstate,285,194,218,9-21,246,6-18,3-3,1-16,5-7,0-1,0-4,2-9,7-7,0-5,8-9
Maine,286,188,198,8-21,259,4-8,4-13,3-11,2-10,0-1,0-6,2-8,6-6,0-7,8-13
La.-Monroe,287,194,218,9-20,284,3-7,6-13,2-14,5-7,0-1,1-4,1-6,7-9,1-5,7-11
EasternIll.,288,214,291,10-18,326,2-7,8-11,3-13,4-8,0-0,0-1,2-10,8-7,0-1,9-9
Columbia,289,230,318,12-16,294,5-9,7-7,3-9,7-5,0-0,0-2,0-7,12-7,0-2,12-11
NorfolkSt.,290,249,340,13-18,338,2-10,11-8,5-10,6-6,0-1,0-1,0-3,13-13,0-2,13-14
Fordham,291,137,92,3-25,292,2-10,1-15,1-11,1-11,0-5,0-4,1-11,2-5,0-9,3-9
NorthernAriz.,292,183,184,6-19,240,1-8,5-11,1-14,4-8,0-0,0-4,0-8,6-7,0-4,6-10
Centenary(LA),293,190,204,8-23,293,2-10,6-13,2-15,3-9,0-2,0-6,2-6,6-9,0-8,6-11
Longwood,294,242,332,13-14,275,7-10,6-4,3-11,8-4,0-1,0-3,1-2,12-8,0-4,12-9
Bucknell,295,186,190,7-23,262,3-12,4-11,1-15,3-9,0-1,1-3,3-10,3-9,1-4,4-16
GaSouthern,296,181,182,7-22,150,2-6,5-16,1-13,1-11,0-1,1-5,2-9,4-7,1-6,6-13
CentralMich.,297,219,301,12-19,266,4-9,8-10,3-11,6-6,0-2,2-3,1-5,9-9,2-5,10-12
McNeeseSt.,298,204,256,9-18,314,4-9,5-9,2-13,4-8,0-2,1-1,1-9,7-6,1-3,8-14
Hartford,298,173,170,7-26,270,4-11,3-15,1-16,1-11,0-2,0-8,2-9,5-7,0-10,7-14
DelawareSt.,300,202,247,7-23,274,1-12,6-11,3-14,4-8,0-4,0-3,0-5,7-11,0-7,7-12
WesternMich.,301,205,257,10-20,280,3-10,7-10,3-10,3-9,0-1,0-5,2-7,8-7,0-6,10-11
CalStBakersfield,302,201,243,8-20,321,6-20,2-0,3-14,3-9,0-2,0-1,2-9,6-8,0-3,7-12
CoastalCaro.,303,205,257,8-19,285,3-7,5-12,2-13,3-9,0-1,0-1,2-8,6-9,0-2,7-10
CalPoly,304,192,209,7-20,255,4-7,3-13,3-8,3-9,0-2,0-1,3-8,4-9,0-3,5-14
FloridaA&M,305,213,287,10-21,282,3-10,7-11,1-16,4-8,0-1,0-4,2-6,8-10,0-5,8-11
Bryant,306,208,272,8-21,289,7-20,1-1,3-14,6-6,0-1,0-3,0-9,8-8,0-4,8-13
Brown,307,214,291,9-19,215,6-8,3-11,1-14,3-9,0-0,0-5,1-3,8-11,0-5,9-11
Lafayette,308,205,257,8-22,303,4-11,4-11,2-14,2-10,0-1,0-4,2-6,6-11,0-5,8-14
UMKC,309,199,232,7-22,224,4-7,3-15,3-13,1-11,0-1,1-4,1-6,5-11,1-5,6-12
FlaGulfCoast,310,202,247,10-20,249,6-17,4-3,0-14,3-9,0-3,0-2,1-8,9-7,0-5,9-9
NorthwesternSt.,311,201,243,8-20,263,7-7,1-13,3-12,3-9,0-2,0-4,1-7,7-7,0-6,8-11
HoustonBaptist,312,175,173,4-25,308,1-22,3-3,1-15,3-9,0-5,0-3,0-10,4-7,0-8,4-14
FlaAtlantic,313,178,179,6-26,268,4-9,2-17,0-18,2-10,0-3,0-5,1-9,5-9,0-8,6-11
FairleighDickinson,314,210,278,7-23,320,1-11,6-12,3-14,3-9,0-1,0-4,0-6,7-12,0-5,7-14
Dartmouth,315,232,322,8-19,339,1-12,7-7,3-9,6-6,0-1,0-2,0-3,8-13,0-3,8-14
UNCGreensboro,316,191,208,4-25,337,0-8,4-17,3-14,2-10,0-1,0-3,0-12,4-9,0-4,4-16
Toledo,317,178,179,6-25,283,1-13,5-12,0-16,3-9,0-2,0-9,1-6,5-8,0-11,6-12
EasternMich.,318,200,238,6-24,330,0-13,6-11,3-12,5-7,0-4,0-3,1-7,5-10,0-7,6-13
CentralArk.,319,199,232,6-19,304,6-19,0-0,1-10,2-10,0-0,0-4,2-8,4-7,0-4,6-13
LoyolaMarymount,320,154,126,3-27,302,1-14,2-13,0-14,2-10,0-5,0-5,1-11,2-6,0-10,3-13
Monmouth,321,211,280,8-23,332,2-11,6-12,1-14,3-9,0-2,0-1,2-6,6-14,0-3,7-15
StFrancis(PA),322,210,278,6-23,278,3-8,3-15,2-15,2-10,0-0,0-3,1-7,5-13,0-3,5-16
TexasSouthern,323,211,280,7-25,290,0-13,7-12,3-16,6-6,0-4,0-3,0-9,7-9,0-7,7-15
CharlestonSo.,324,195,224,6-20,257,3-7,3-13,2-10,4-8,0-1,0-2,0-11,6-6,0-3,6-9
HighPoint,325,203,251,6-21,331,2-8,4-13,4-11,4-8,0-1,0-1,0-11,6-8,0-2,6-11
NorthFla.,326,214,291,7-22,307,4-18,3-4,2-14,5-7,0-2,0-1,0-8,7-11,0-3,7-13
Winston-Salem,327,231,320,6-22,325,5-21,1-1,5-10,4-8,0-2,0-0,0-7,6-13,0-2,6-16
WesternIll.,328,230,318,8-20,342,2-8,6-12,3-12,3-9,0-1,0-3,0-5,8-11,0-4,8-11
NorthernIll.,329,226,313,9-20,312,4-8,5-12,1-11,4-8,0-0,1-3,0-7,8-10,1-3,8-13
Howard,330,216,297,8-23,322,2-12,6-11,0-14,5-7,0-1,0-2,1-8,7-12,0-3,8-15
Tex.-PanAmerican,331,223,309,6-17,313,1-12,5-5,1-10,5-7,0-1,0-3,1-5,5-8,0-4,6-12
Furman,332,193,212,4-24,341,0-7,4-17,0-16,3-9,0-0,0-6,1-9,3-9,0-6,4-16
MississippiVal.,333,215,295,7-25,295,0-13,7-12,0-19,4-8,0-3,0-4,1-8,6-10,0-7,7-17
AlabamaA&M,334,245,336,7-17,216,1-4,6-13,2-11,3-9,0-1,0-2,0-6,7-8,0-3,7-13
SouthernU.,335,252,343,8-21,340,0-10,8-11,2-13,5-7,0-1,0-1,0-6,8-13,0-2,8-19
KennesawSt.,336,233,323,6-22,334,3-18,3-4,1-14,1-11,0-0,0-0,0-10,6-12,0-0,6-15
N.CCentral,337,206,264,3-26,327,0-17,3-9,0-17,3-9,0-2,0-5,0-6,3-13,0-7,3-15
Md.-EastShore,338,250,341,7-23,324,4-9,3-14,2-16,1-11,0-1,0-1,0-5,7-16,0-2,7-19
SoutheastMoSt.,339,203,251,2-26,319,2-8,0-18,0-15,0-12,0-0,0-3,0-12,2-11,0-3,2-13
Grambling,340,236,326,5-23,297,1-9,4-14,1-14,1-11,0-2,0-1,1-8,4-12,0-3,4-20
SacramentoSt.,341,197,228,2-27,336,1-12,1-15,0-16,1-11,0-0,0-2,0-10,2-15,0-2,2-18
