SCHOOLNAME,RPI,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,200-999,VTOP100,VBELOWO164
Fairfield,91,19-12,161,4-6,16,15-6,9-4,6-4,0-2,2-4,8-3,9-3,2-6,12-3
SamHoustonSt.,92,21-7,242,2-4,24,19-3,7-5,8-2,0-1,0-0,9-5,12-1,0-1,19-3
Vanderbilt,93,11-18,78,7-4,2,4-14,0-11,1-9,3-12,1-5,3-1,4-0,4-17,4-0
Richmond,94,15-14,97,6-6,9,9-8,5-7,3-7,2-7,4-1,3-5,6-1,6-8,9-3
Charlotte,95,13-16,138,5-7,8,8-9,2-11,5-5,2-7,4-6,5-3,2-0,6-13,3-0
Mercer,96,20-6,215,5-3,22,15-3,10-4,9-1,0-0,1-3,4-2,15-1,1-3,17-1
Drexel,97,18-12,123,4-5,17,14-7,10-6,6-4,0-1,1-5,7-6,10-0,1-6,13-2
Valparaiso,98,20-11,88,6-8,27,14-3,7-8,7-3,1-5,1-2,5-3,13-1,2-7,14-2
Iowa,99,17-14,102,10-4,5,7-10,6-6,4-6,2-7,4-7,5-0,6-0,6-14,8-0
Wagner,100,21-11,146,4-7,28,17-4,7-9,7-3,0-3,0-0,8-1,13-7,0-3,19-7
Clemson,101,14-13,71,9-1,3,5-12,1-8,3-7,2-7,4-6,2-0,6-0,6-13,8-0
Mississippi,102,14-15,62,9-2,2,5-13,3-8,2-8,2-11,2-3,5-1,5-0,4-14,5-0
Rice,103,17-10,66,6-2,12,11-8,6-7,6-4,1-2,2-5,6-3,8-0,3-7,12-0
Nevada,104,17-14,128,4-6,12,13-8,5-11,4-6,0-4,3-6,8-3,6-1,3-10,10-2
SanDiegoSt.,105,15-14,110,9-5,6,6-9,5-8,4-6,1-9,4-2,5-2,5-1,5-11,7-2
Siena,106,21-11,113,8-4,16,13-7,8-4,8-2,1-1,4-4,5-4,11-2,5-5,13-3
Baylor,107,14-14,142,9-2,1,5-12,2-7,4-6,2-10,1-2,3-2,8-0,3-12,9-1
UCIrvine,108,19-9,87,5-3,20,14-6,8-5,8-2,0-2,2-2,3-3,14-2,2-4,15-3
StephenFAustin,109,19-8,172,2-3,24,17-5,6-7,7-3,0-1,1-2,5-3,13-2,1-3,18-5
WestVirginia,110,14-15,99,9-3,4,5-12,2-9,2-8,1-11,2-3,5-0,6-1,3-14,9-1
Arkansas,111,9-19,81,5-6,2,4-13,1-9,2-8,3-12,2-4,2-3,2-0,5-16,4-1
SouthernCalifornia,112,12-17,122,4-4,7,8-13,3-9,3-7,4-8,1-4,3-5,4-0,5-12,5-2
Rutgers,113,11-16,132,7-4,4,4-12,2-10,3-7,3-9,2-4,2-3,4-0,5-13,5-1
Chattanooga,114,19-9,86,6-3,19,13-6,7-5,7-3,1-1,2-2,4-2,12-4,3-3,13-4
NewMexicoSt.,115,19-9,117,9-2,15,10-7,6-6,7-3,1-1,1-4,9-3,8-1,2-5,14-2
NorthernIll.,116,17-14,168,4-6,11,13-8,8-6,5-5,0-4,2-4,9-6,6-0,2-8,8-4
GeorgeMason,117,16-12,70,5-4,17,11-8,6-8,6-4,0-3,3-1,6-5,7-3,3-4,9-4
EastTennSt.,118,17-11,180,3-6,19,14-5,5-8,8-2,0-1,2-4,5-4,10-2,2-5,11-2
SouthernMethodist,119,17-13,134,5-5,12,12-8,5-9,6-4,0-3,3-4,8-6,6-0,3-7,10-3
EasternWash.,120,17-13,120,7-7,18,10-6,7-8,5-5,0-5,0-2,6-5,11-1,0-7,15-4
Detroit,121,17-12,127,6-4,13,11-8,6-7,7-3,0-3,2-6,4-2,11-1,2-9,12-1
SouthFla.,122,14-14,92,6-4,8,8-10,1-11,4-6,2-5,3-3,6-4,3-2,5-8,4-3
Nebraska,123,11-18,90,8-4,1,3-14,0-10,2-8,1-12,2-2,4-4,4-0,3-14,5-0
VaCommonwealth,124,18-10,143,5-3,17,13-7,5-6,7-3,0-0,2-6,7-2,9-2,2-6,13-2
Niagara,125,17-12,203,4-5,16,13-7,7-7,7-3,0-0,3-4,5-6,9-2,3-4,12-3
BostonU.,126,20-11,178,5-7,25,15-4,8-8,6-4,0-4,1-1,4-3,15-3,1-5,17-4
SouthwestMoSt.,127,17-12,189,4-5,14,13-7,7-5,4-6,0-5,1-3,5-2,11-2,1-8,13-2
KansasSt.,128,13-17,116,9-4,1,4-13,1-9,2-8,2-10,3-2,5-4,3-1,5-12,4-1
TennesseeTech,129,17-12,154,4-6,21,13-6,5-9,7-3,0-2,1-5,6-4,10-1,1-7,12-2
UCF,130,20-11,210,7-5,22,13-6,8-6,6-4,0-0,3-4,4-4,13-3,3-4,15-5
WichitaSt.,131,18-12,198,5-5,14,13-7,5-7,6-4,1-5,0-2,6-4,11-1,1-7,14-3
UCLA,132,10-19,174,3-6,7,7-13,4-7,5-5,2-9,1-6,3-3,4-1,3-15,6-1
SanFrancisco,133,14-14,191,4-8,10,10-6,5-9,7-3,1-4,0-5,4-3,9-2,1-9,9-2
BallSt.,134,13-17,76,5-6,11,8-11,2-11,4-6,0-7,1-3,8-7,4-0,1-10,7-3
Pepperdine,135,15-13,108,8-5,10,7-8,6-6,4-6,0-4,2-2,4-6,9-1,2-6,10-2
MoreheadSt.,136,17-9,221,3-5,21,14-4,7-6,7-3,0-2,0-3,6-3,11-1,0-5,13-2
Miami(Ohio),137,12-15,176,1-7,11,11-8,4-10,4-6,2-5,1-2,6-7,3-1,3-7,6-3
UCSantaBarb.,138,18-14,207,3-9,20,15-5,6-7,6-4,0-3,1-1,5-7,12-3,1-4,13-6
StMary's(Cal.),139,14-15,124,6-6,10,8-9,3-8,4-6,0-5,1-3,5-5,8-2,1-8,8-3
StBonaventure,140,13-14,126,6-7,9,7-7,4-9,5-5,0-7,4-4,4-2,5-1,4-11,8-1
Ohio,141,14-16,97,4-5,11,10-11,5-10,6-4,0-4,3-3,8-8,3-1,3-7,7-3
Tulane,142,14-15,183,5-6,8,9-9,2-10,5-5,0-7,3-2,4-6,7-0,3-9,8-2
Vermont,143,19-11,197,5-6,25,14-5,7-7,7-3,0-3,0-1,4-3,15-4,0-4,17-6
Belmont,144,16-12,152,4-7,22,12-5,7-7,7-3,0-3,1-3,4-3,11-3,1-6,12-4
MurraySt.,145,15-12,74,5-4,21,10-8,5-9,5-5,0-3,1-3,7-4,7-2,1-6,10-2
MiddleTenn.,146,14-14,250,3-8,15,11-6,4-9,7-3,0-2,1-4,6-7,7-1,1-6,10-1
SouthernMiss.,147,13-16,72,7-4,8,6-12,0-11,3-7,2-3,2-6,6-4,3-3,4-9,4-4
