SCHOOLNAME,RPI,OPPRPI,RECORD,NONCONFRPI NONCONFRECORD,,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,201-999,VTOP100,VBELOW201
Nevada,19,141,26-5,14 10-2,,9,16- 3,10-3,10- 0,3- 2,9- 1,6- 2,8- 0,12- 3,8- 0
Kansas,20,110,24-7,94 8-4,,5,16- 3,6-2,9- 1,4- 5,10- 0,5- 2,5- 0,14- 5,5- 0
Missouri St.,21,114,20-8,8 8-1,,6,12- 7,8-5,8- 2,4- 8,1- 0,10- 0,5- 0,5- 8,4- 0
Boston College,22,122,25-7,73 12-1,,3,13- 6,8-3,8- 2,3- 4,8- 2,8- 1,6- 0,11- 6,6- 0
Arizona,23,90,19-12,9 7-4,,7,12- 8,4-8,6- 4,2- 7,6- 2,11- 3,0- 0,8- 9,0- 0
Wisconsin,24,84,19-11,18 10-3,,1,9- 8,2-8,4- 6,6- 7,5- 1,6- 2,2- 1,11- 8,2- 1
UNI,25,111,21-9,7 9-1,,6,12- 8,7-5,4- 6,8- 7,0- 1,8- 1,5- 0,8- 8,5- 0
George Mason,26,145,23-7,35 7-3,,10,16- 4,8-5,8- 2,2- 4,6- 2,4- 1,11- 0,8- 6,11- 0
Wichita St.,27,114,23-8,49 8-3,,6,15- 5,8-3,7- 3,6- 8,2- 0,10- 0,5- 0,8- 8,5- 0
UNC Wilmington,28,147,25-7,105 7-4,,10,18- 3,8-6,9- 1,3- 3,5- 2,7- 1,10- 1,8- 5,10- 1
Southern Ill.,29,112,22-9,69 7-3,,6,15- 6,7-6,6- 4,9- 4,1- 1,8- 4,4- 0,10- 5,4- 0
Hofstra,30,155,24-6,81 8-1,,10,16- 5,9-5,8- 2,3- 2,4- 3,6- 0,11- 1,7- 5,11- 1
Marquette,31,96,19-10,52 9-3,,2,10- 7,3-7,5- 5,3- 6,6- 4,7- 0,3- 0,9- 10,3- 0
UAB,32,159,23-6,76 9-3,,13,14- 3,7-5,8- 2,1- 2,6- 4,2- 0,14- 0,7- 6,14- 0
Team,RPI,Opp,,Non-Conf.,Conference,Road,1  0,,,,TOP,
"",,Avg RPI,Record,RPI Record,RPI Record,Record,Games,1-50,51-100 101-200,201-999,,
"",,,,,,,,,,,100,201
Bradley,33,108,20-10,58 7-2,6 13- 8,5-8,7- 3,7- 6,2- 1 6- 3,5- 0,9- 7,5- 0
 Indiana,34,96,18-11,71 8-3,1 10- 8,5-7,5- 5,7- 8,1- 1 5- 2,5- 0,8- 9,5- 0
Washington,35,130,24-6,13 11-0,7 13- 6,6-3,8- 2,5- 1,2- 2 13- 3,4- 0,7- 3,4- 0
Georgetown,36,115,21-9,74 9-2,2 12- 7,7-6,5- 5,5- 7,5- 1 4- 0,7- 1,10- 8,7- 1
West Virginia,37,102,19-10,101 8-4,2 11- 6,5-4,4- 6,8- 8,2- 1 2- 0,7- 1,10- 9,7- 1
George Washington,38,176,26-2,116 10-1,11 16- 1,10-1,9- 1,3- 0,2- 2 8- 0,13- 0,5- 2,13- 0
Creighton,39,112,19-9,34 7-2,6 12- 7,5-7,6- 4,6- 6,2- 1 8- 1,3- 1,8- 7,3- 1
Cincinnati,40,83,18-12,16 10-3,2 8- 9,3-7,5- 5,4- 8,7- 3 4- 1,3- 0,11- 11,3- 0
Kentucky,41,90,21-12,32 10-4,4 11- 8,6-4,6- 4,3- 8,6- 4 9- 0,3- 0,9- 12,3- 0
Bucknell,42,183,25-4,46 8-4,21 17- 0,11-3,9- 1,2- 3,1- 0 6- 1,16- 0,3- 3,15- 0
St. Joseph's,43,114,18-13,28 6-5,11 12- 8,8-8,8- 2,1- 6,4- 4 8- 3,5- 0,5- 10,5- 0
Texas A&M,44,122,21-8,50 10-1,5 11- 7,4-5,8- 2,1- 5,6- 2 9- 1,5- 0,7- 7,5- 0
Arkansas,45,114,22-9,65 11-2,4 11- 7,3-5,7- 3,4- 6,3- 1 10- 2,5- 0,7- 7,5- 0
Utah St.,46,146,22-8,23 9-2,9 13- 6,7-6,7- 3,1- 2,6- 3 7- 3,8- 0,7- 5,8- 0
Michigan,47,95,18-10,26 10-1,1 8- 9,5-6,3- 7,3- 8,6- 1 4- 1,5- 0,9- 9,5- 0
Kent St.,48,158,24-8,152 6-5,16 18- 3,8-5,9- 1,0- 2,7- 2 9- 3,8- 1,7- 4,8- 1
Maryland,49,103,18-12,33 9-3,3 9- 9,2-7,5- 5,2- 7,5- 5 6- 0,5- 0,7- 12,4- 0
Air Force,50,165,22-6,70 10-1,8 12- 5,6-5,7- 3,0- 1,5- 2 10- 3,7- 0,5- 3,7- 0
North Carolina St.,51,120,21-9,62 11-2,3 10- 7,5-5,5- 5,3- 5,8- 3 2- 1,8- 0,11- 8,8- 0
California,52,118,20-10,99 6-3,7 14- 7,7-5,6- 4,3- 5,4- 2 11- 2,2- 1,7- 7,2- 1
Wis.-Milwaukee,53,153,20-8,57 6-4,15 14- 4,8-6,6- 4,0- 3,4- 1 10- 4,6- 0,4- 4,6- 0
Houston,54,155,19-9,27 9-3,13 10- 6,7-7,7- 3,2- 3,1- 4 5- 1,11- 1,3- 7,9- 1
Western Ky.,55,158,22-7,40 8-4,18 14- 3,7-4,8- 2,1- 2,2- 2 11- 2,8- 1,3- 4,8- 1
San Diego St.,56,151,22-8,158 6-5,8 16- 3,6-5,8- 2,1- 1,4- 2 11- 5,6- 0,5- 3,6- 0
Alabama,57,90,17-12,55 7-5,4 10- 7,3-7,6- 4,5- 5,4- 4 5- 3,3- 0,9- 9,3- 0
Seton Hall,58,103,18-11,25 9-3,2 9- 8,5-6,5- 5,4- 4,4- 4 6- 2,4- 1,8- 8,4- 1
Colorado,59,132,20-9,68 10-1,5 10- 8,4-7,5- 5,2- 5,4- 2 9- 2,5- 0,6- 7,5- 0
Northwestern St.,60,184,22-7,154 4-6,22 18- 1,10-6,9- 1,0- 3,1- 2 10- 2,11- 0,1- 5,11- 0
Montana,61,181,21-6,78 9-2,17 12- 4,8-5,7- 3,0- 0,1- 1 13- 3,7- 2,1- 1,7- 2
South Carolina,62,92,17-15,75 8-4,4 9- 11,4-7,5- 5,4- 9,3- 3 6- 3,4- 0,7- 12,4- 0
 Iona,63,161,23-7,56 7-2,14 16- 5,11-2,7- 3,0- 1,1- 3 11- 3,11- 0,1- 4,8- 0
Florida St.,64,130,19-9,100 10-1,3 9- 8,4-6,6- 4,2- 4,6- 4 4- 1,7- 0,8- 8,7- 0
Murray St.,65,189,23-6,98 3-3,,20,20- 3,8-4,9- 1,0- 3,0- 0,11- 2,12- 1,0- 3,12- 1
South Ala.,66,184,23-6,107 8-3,,18,15- 3,9-4,9- 1,0- 1,2- 1,9- 3,12- 1,2- 2,12- 1
Brigham Young,67,152,19-8,113 7-3,,8,12- 5,4-6,8- 2,1- 2,2- 2,11- 4,5- 0,3- 4,5- 0
Louisiana Tech,68,136,19-12,103 7-6,,9,12- 6,7-8,6- 4,1- 7,3- 3,8- 2,7- 0,4- 10,7- 0
Old Dominion,69,150,21-9,84 8-3,,10,13- 6,6-6,6- 4,2- 5,3- 2,5- 1,11- 1,5- 7,11- 1
Akron,70,168,21-9,134 6-4,,16,15- 5,6-7,6- 4,1- 2,2- 5,8- 2,10- 0,3- 7,10- 0
Louisville,71,109,18-12,37 12-1,,2,6- 11,1-8,4- 6,2- 10,4- 1,5- 1,7- 0,6- 11,7- 0
Vanderbilt,72,104,17-12,53 9-2,,4,8- 10,6-5,5- 5,3- 8,1- 2,9- 2,4- 0,4- 10,4- 0
Winthrop,73,185,21-7,87 5-4,,19,16- 3,7-6,9- 1,1- 1,0- 2,10- 3,10- 1,1- 3,10- 1
Temple,74,111,17-14,42 7-5,,11,10- 9,4-9,5- 5,3- 6,5- 1,5- 7,4- 0,8- 7,4- 0
Rutgers,75,107,17-13,41 9-3,,2,8- 10,4-6,5- 5,2- 7,5- 2,5- 4,5- 0,7- 9,5- 0
UTEP,76,162,18-9,118 6-5,,13,12- 4,5-6,7- 3,1- 4,4- 1,0- 4,13- 0,5- 5,13- 0
Miami (Fla.),77,106,16-15,125 8-5,,3,8- 10,3-7,3- 7,2- 9,4- 6,5- 0,5- 0,6- 15,5- 0
Clemson,78,118,17-12,48 10-2,,3,7- 10,4-7,4- 6,1- 3,5- 6,5- 3,6- 0,6- 9,6- 0
Virginia,79,109,15-14,111 7-4,,3,8- 10,2-10,4- 6,2- 7,3- 5,5- 2,5- 0,5- 12,5- 0
Xavier,80,138,21-10,38 9-2,,11,12- 8,5-5,7- 3,3- 4,1- 1,10- 5,7- 0,4- 5,7- 0
Va. Commonwealth,81,162,19-10,44 7-2,,10,12- 8,6-7,5- 5,1- 6,2- 2,4- 0,12- 2,3- 8,12- 2
Butler,82,154,19-12,97 7-6,,15,12- 6,5-9,6- 4,1- 5,1- 2,10- 4,7- 1,2- 7,7- 1
Minnesota,83,92,15-14,24 9-2,,1,6- 12,2-8,5- 5,5- 10,1- 0,6- 4,3- 0,6- 10,3- 0
Miami (Ohio),84,155,18-10,140 4-5,,16,14- 5,7-7,8- 2,0- 5,3- 4,6- 1,9- 0,3- 9,9- 0
Wake Forest,85,104,17-16,39 12-2,,3,5- 14,2-8,5- 5,2- 8,4- 6,5- 2,6- 0,6- 14,6- 0
Stanford,86,120,15-13,161 4-5,,7,11- 8,4-8,4- 6,1- 7,1- 2,12- 3,1- 1,2- 9,1- 1
Manhattan,87,160,18-10,144 4-5,,14,14- 5,7-6,6- 4,0- 2,2- 1,8- 4,8- 3,2- 3,7- 2
Pacific,88,202,22-7,136 8-5,,23,14- 2,9-4,9- 1,1- 1,1- 2,6- 3,14- 1,2- 3,14- 1
Oklahoma St.,89,111,17-15,61 10-4,,5,7- 11,3-7,4- 6,3- 9,2- 4,6- 2,6- 0,5- 13,6- 0
Northeastern,90,160,18-11,171 4-4,,10,14- 7,5-8,7- 3,1- 5,2- 2,2- 4,13- 0,3- 7,13- 0
 Iowa St.,91,102,15-14,36 9-3,,5,6- 11,3-6,3- 7,2- 6,4- 4,6- 4,3- 0,6- 10,3- 0
DePaul,92,81,12-15,30 7-4,,2,5- 11,4-8,4- 6,3- 8,4- 4,3- 3,2- 0,7- 12,2- 0
UNLV,93,130,17-13,135 6-6,,8,11- 7,4-8,5- 5,0- 3,3- 7,11- 2,3- 1,3- 10,3- 1
Davidson,94,182,17-10,83 4-5,,24,13- 5,4-9,7- 3,1- 3,0- 0,9- 4,7- 3,1- 3,7- 3
Notre Dame,95,106,15-13,64 9-2,,2,6- 11,4-6,5- 5,1- 10,4- 3,3- 0,7- 0,5- 13,6- 0
Nebraska,96,123,19-13,96 10-3,,5,9- 10,3-6,4- 6,3- 7,4- 3,5- 3,7- 0,7- 10,7- 0
Team,RPI,Opp,,Non-Conf.,Conference,Road,1  0,,,,TOP,
"",,Avg RPI,Record,RPI Record,RPI Record,Record,Games,1-50,51-100 101-200,201-999,,
"",,,,,,,,,,,100,201
New Mexico St.,97,129,15-14,149 4-7,9 11- 7,4-10,7- 3,2- 4,4- 4 3- 6,6- 0,6- 8,6- 0
Penn,98,186,19-8,92 7-6,25 12- 2,7-4,8- 2,0- 3,1- 2 6- 2,12- 1,1- 5,12- 1
Ohio,99,153,18-11,63 6-2,16 12- 9,5-7,5- 5,0- 5,2- 3 8- 3,8- 0,2- 8,8- 0
Hawaii,100,129,17-11,72 7-4,9 10- 7,3-7,7- 3,3- 2,3- 7 6- 2,5- 0,6- 9,5- 0
St. Louis,101,137,16-13,109 6-6,11 10- 7,5-8,6- 4,1- 6,3- 2 5- 4,7- 1,4- 8,7- 1
Northwestern,102,94,13-15,95 7-4,1 6- 11,3-8,4- 6,2- 9,3- 2 5- 4,3- 0,5- 11,3- 0
La Salle,103,162,18-10,93 8-3,11 10- 7,7-6,7- 3,0- 4,2- 2 6- 4,10- 0,2- 6,10- 0
Charlotte,104,143,18-12,153 7-6,11 11- 6,9-5,6- 4,1- 3,3- 3 7- 5,7- 1,4- 6,7- 1
Marist,105,172,19-10,133 6-3,14 13- 7,10-5,6- 4,0- 0,2- 6 5- 2,12- 2,2- 6,11- 1
Penn St.,106,111,15-14,114 8-3,1 7- 11,3-7,5- 5,2- 12,0- 2 5- 0,8- 0,2- 14,8- 0
Samford,107,180,18-11,127 2-4,20 16- 7,8-7,5- 5,0- 2,1- 4 6- 4,11- 1,1- 6,11- 1
Providence,108,93,12-15,43 7-4,2 5- 11,3-8,3- 7,0- 10,5- 4 3- 1,4- 0,5- 14,4- 0
Georgia,109,108,15-15,90 10-3,4 5- 12,3-7,3- 7,0- 10,6- 2 4- 3,5- 0,6- 12,5- 0
Kansas St.,110,126,15-13,47 9-2,5 6- 11,2-8,3- 7,2- 3,3- 4 5- 6,5- 0,5- 7,5- 0
Holy Cross,111,179,20-12,143 7-8,21 13- 4,7-7,8- 2,0- 6,1- 1 5- 3,14- 2,1- 7,14- 2
Sam Houston St.,112,190,18-9,120 5-3,22 13- 6,7-7,7- 3,0- 1,2- 3 8- 1,8- 4,2- 4,8- 4
Mississippi St.,113,109,15-15,54 10-3,4 5- 12,1-8,4- 6,2- 6,1- 6 8- 3,4- 0,3- 12,4- 0
Middle Tenn.,114,165,15-12,80 7-5,18 8- 7,6-8,7- 3,1- 2,1- 3 5- 4,8- 3,2- 5,8- 3
Belmont,115,217,20-10,189 5-6,27 15- 4,7-8,9- 1,0- 2,0- 0 4- 6,16- 2,0- 2,16- 2
Auburn,116,94,12-16,29 8-3,4 4- 13,1-11,3- 7,0- 9,2- 5 8- 2,2- 0,2- 14,2- 0
Northern Ariz.,117,182,18-10,273 5-7,17 13- 3,6-6,6- 4,0- 2,1- 3 7- 4,10- 1,1- 5,10- 1
Southern California,118,128,16-13,89 8-2,7 8- 11,4-6,3- 7,3- 4,2- 4 8- 4,3- 1,5- 8,3- 1
Albany (N.Y.),119,221,21-10,160 5-7,28 16- 3,8-7,8- 2,0- 2,0- 2 2- 1,19- 5,0- 4,19- 5
New Mexico,120,145,17-13,102 9-4,8 8- 9,2-9,5- 5,1- 2,3- 7 7- 4,6- 0,4- 9,6- 0
Coastal Caro.,121,192,16-10,258 2-5,19 14- 5,5-9,9- 1,0- 2,2- 2 3- 5,11- 1,2- 4,11- 1
Delaware St.,122,205,20-13,165 2-10,30 18- 3,9-9,8- 2,1- 6,0- 1 1- 3,18- 3,1- 7,18- 3
St. Mary's (Cal.),123,150,16-12,77 7-5,12 9- 7,5-5,8- 2,2- 5,0- 2 7- 4,7- 1,2- 7,6- 1
Fresno St.,124,146,15-13,110 7-5,9 8- 8,3-10,5- 5,2- 3,3- 6 3- 3,7- 1,5- 9,7- 1
Siena,125,151,15-13,86 5-4,14 10- 9,5-9,6- 4,0- 2,1- 4 6- 5,8- 2,1- 6,6- 2
Massachusetts,126,130,13-15,123 5-6,11 8- 9,2-12,4- 6,1- 4,2- 4 5- 6,5- 1,3- 8,5- 1
Northern Ill.,127,167,16-11,138 4-4,16 12- 7,6-6,6- 4,0- 3,2- 4 6- 3,8- 1,2- 7,8- 1
St. Peter's,128,159,17-15,137 5-5,14 12- 10,7-7,5- 5,0- 2,2- 5 6- 4,9- 4,2- 7,7- 4
Drexel,129,140,15-16,66 7-5,,10,8- 11,4-9,3- 7,0- 8,2- 4,4- 1,9- 3,2- 12,9- 3
Buffalo,130,165,18-13,45 9-2,,16,9- 11,5-9,4- 6,0- 4,3- 5,5- 2,10- 2,3- 9,9- 2
Oral Roberts,131,196,20-11,150 4-8,,29,16- 3,6-8,8- 2,0- 5,0- 2,5- 3,15- 1,0- 7,15- 1
Southern U.,132,222,19-12,199 1-9,,31,18- 3,6-11,9- 1,0- 4,1- 2,0- 2,18- 4,1- 6,18- 4
 Ill.-Chicago,133,156,16-14,82 7-5,,15,9- 9,6-7,6- 4,0- 1,3- 4,9- 7,4- 2,3- 5,4- 2
Fordham,134,150,16-16,166 5-8,,11,11- 8,5-10,5- 5,0- 2,3- 6,4- 7,9- 1,3- 8,9- 1
Tennessee Tech,135,178,17-12,122 3-4,,20,14- 8,6-8,5- 5,0- 3,2- 1,7- 5,8- 3,2- 4,8- 3
Texas Tech,136,110,15-17,148 8-6,,5,7- 11,2-9,3- 7,0- 10,5- 5,5- 2,5- 0,5- 15,5- 0
St. John's (N.Y.),137,110,12-15,124 7-4,,2,5- 11,2-8,2- 8,1- 9,3- 3,1- 3,7- 0,4- 12,6- 0
Loyola (Ill.),138,172,17-11,91 7-2,,15,10- 9,5-8,7- 3,1- 1,1- 4,8- 5,7- 1,2- 5,7- 1
Missouri,139,113,12-16,85 7-4,,5,5- 12,1-9,2- 8,2- 5,3- 7,1- 4,6- 0,5- 12,5- 0
La.-Lafayette,140,153,13-16,119 5-7,,18,8- 9,4-12,8- 2,0- 4,2- 4,3- 4,8- 4,2- 8,8- 4
San Diego,141,176,17-12,115 9-3,,12,8- 9,6-8,4- 6,0- 3,1- 0,9- 5,7- 4,1- 3,7- 4
Eastern Wash.,142,164,14-15,214 4-9,,17,10- 6,5-9,7- 3,0- 4,0- 4,5- 5,9- 2,0- 8,9- 2
Lipscomb,143,230,21-10,235 7-5,,27,14- 5,6-8,7- 3,0- 2,0- 0,3- 4,18- 4,0- 2,18- 4
Monmouth,144,200,18-14,234 3-8,,26,15- 6,9-8,7- 3,1- 0,0- 2,6- 6,11- 6,1- 2,11- 6
Fairleigh Dickinson,145,212,19-11,246 3-6,,26,16- 5,8-7,7- 3,0- 1,0- 2,2- 5,17- 3,0- 3,17- 3
Virginia Tech,146,123,14-16,121 10-3,,3,4- 13,3-8,3- 7,0- 7,4- 8,3- 0,7- 1,4- 15,7- 1
Oregon,147,118,14-18,183 5-6,,7,9- 12,3-9,5- 5,2- 7,1- 6,8- 4,3- 1,3- 13,3- 1
Toledo,148,191,19-11,155 6-2,,16,13- 9,4-8,8- 2,1- 2,1- 4,5- 3,12- 2,2- 6,12- 2
Loyola Marymount,149,139,12-18,205 3-11,,12,9- 7,4-11,4- 6,0- 4,1- 6,7- 5,4- 3,1- 10,4- 3
Lehigh,150,197,17-12,210 5-8,,21,12- 4,6-7,7- 3,0- 4,0- 1,2- 4,15- 3,0- 5,15- 3
Colorado St.,151,143,14-15,60 9-2,,8,5- 13,5-7,4- 6,0- 2,2- 8,7- 4,5- 1,2- 10,5- 1
Rhode Island,152,143,14-14,126 6-5,,11,8- 9,4-7,3- 7,0- 3,2- 4,5- 6,7- 1,2- 7,7- 1
Long Beach St.,153,208,17-12,231 6-6,,23,11- 6,7-7,8- 2,0- 0,1- 5,3- 2,13- 5,1- 5,13- 5
Sacramento St.,154,176,13-15,117 7-5,,17,6- 10,7-9,2- 8,0- 2,0- 2,7- 6,6- 5,0- 4,6- 5
Austin Peay,155,187,17-14,104 6-4,,20,11- 10,4-12,6- 4,0- 1,0- 4,6- 7,11- 2,0- 5,11- 2
Mississippi,156,126,14-16,112 10-3,,4,4- 13,1-9,1- 9,1- 8,2- 2,3- 6,8- 0,3- 10,8- 0
Gardner-Webb,157,220,17-12,192 6-5,,27,11- 7,11-7,7- 3,0- 2,1- 0,3- 3,13- 7,1- 2,13- 7
 IUPUI,158,220,17-10,203 3-6,,29,14- 4,6-7,7- 3,0- 0,0- 3,5- 3,12- 4,0- 3,12- 4
Ga. Southern,159,217,18-9,208 7-4,,24,11- 5,7-6,8- 2,0- 1,1- 1,5- 2,12- 5,1- 2,12- 5
Georgia Tech,160,105,11-17,142 7-4,,3,4- 13,1-11,2- 8,1- 8,4- 6,1- 3,5- 0,5- 14,5- 0
Team,RPI,Opp,,Non-Conf.,Conference,Road,1 0,,,,TOP,
"",,Avg RPI,Record,RPI Record,RPI Record,Record,Games,1-50,51-100 101-200,201-999,,
"",,,,,,,,,,,100,201
Birmingham-So.,161,213,17-9,243 5-4,19 12- 5,6-7,6- 4,0- 0,0- 4 5- 3,12- 2,0- 4,12- 2
Utah,162,141,13-15,147 6-4,8 7- 11,3-8,4- 6,1- 3,3- 5 5- 5,4- 2,4- 8,4- 2
 Indiana St.,163,119,12-16,79 7-1,6 5- 15,4-8,5- 5,4- 10,1- 0 3- 4,4- 2,5- 10,4- 2
High Point,164,198,14-13,157 5-4,19 9- 9,6-10,4- 6,0- 1,0- 3 4- 7,10- 2,0- 4,10- 2
Central Conn. St.,165,224,18-11,191 4-5,26 14- 6,7-7,6- 4,0- 0,0- 1 4- 4,14- 6,0- 1,14- 6
Washington St.,166,115,11-17,59 7-2,7 4- 15,2-9,2- 8,2- 5,1- 5 5- 7,3- 0,3- 10,3- 0
Baylor,167,68,4-13,334 0-0,5 4- 13,0-8,3- 7,0- 7,1- 5 3- 1,0- 0,1- 12,0- 0
UC Irvine,168,205,16-11,215 6-6,23 10- 5,8-4,5- 5,0- 1,2- 2 3- 4,11- 4,2- 3,11- 4
Chattanooga,169,195,15-13,161 5-6,24 10- 7,4-8,7- 3,1- 0,1- 2 2- 9,11- 2,2- 2,11- 2
Wyoming,170,141,13-18,159 6-6,8 7- 12,2-9,3- 7,2- 3,0- 8 4- 7,7- 0,2- 11,7- 0
Loyola (Md.),171,178,15-13,130 7-2,14 8- 11,7-8,4- 6,0- 0,0- 5 3- 5,12- 3,0- 5,11- 2
Elon,172,179,12-14,256 1-9,24 11- 5,4-9,5- 5,0- 1,1- 5 3- 6,8- 2,1- 6,8- 2
Denver,173,187,16-15,196 8-6,18 8- 9,3-12,4- 6,0- 0,1- 4 7- 4,8- 7,1- 4,8- 7
Oregon St.,174,129,13-18,175 7-4,7 6- 14,2-11,3- 7,1- 6,2- 4 6- 7,4- 1,3- 10,4- 1
Purdue,175,95,9-19,129 6-5,1 3- 14,0-12,2- 8,2- 10,2- 3 0- 6,5- 0,4- 13,5- 0
Drake,176,113,10-19,146 5-5,6 5- 14,3-9,1- 9,1- 13,0- 2 4- 3,5- 1,1- 15,5- 1
Boise St.,177,150,13-15,131 7-4,9 6- 11,3-9,4- 6,0- 4,2- 7 4- 2,7- 2,2- 11,7- 2
Detroit,178,160,14-16,178 5-7,15 9- 9,2-13,6- 4,0- 1,1- 7 6- 7,7- 1,1- 8,7- 1
Wright St.,179,162,12-15,176 4-6,15 8- 9,3-12,5- 5,0- 0,3- 4 4- 9,5- 2,3- 4,5- 2
Arizona St.,180,124,11-17,108 6-3,7 5- 14,3-7,4- 6,0- 7,1- 4 7- 5,3- 1,1- 11,3- 1
Jacksonville St.,181,183,15-13,207 2-4,20 13- 9,6-6,7- 3,0- 0,0- 4 5- 8,10- 1,0- 4,10- 1
Valparaiso,182,223,16-12,88 7-3,29 9- 9,5-10,6- 4,0- 3,0- 0 2- 4,14- 5,0- 3,13- 5
Dayton,183,134,13-17,145 7-6,11 6- 11,2-9,4- 6,2- 5,1- 5 3- 6,7- 1,3- 10,7- 1
Santa Clara,184,153,11-16,139 5-6,12 6- 10,3-10,5- 5,1- 3,1- 2 2- 10,7- 1,2- 5,7- 1
San Francisco,185,141,11-17,172 4-9,12 7- 8,3-8,4- 6,0- 4,1- 2 5- 10,5- 1,1- 6,5- 1
Wis.-Green Bay,186,163,14-16,195 5-7,15 9- 9,2-10,5- 5,0- 3,1- 5 7- 4,6- 4,1- 8,6- 4
Binghamton,187,218,16-13,260 3-8,28 13- 5,7-7,7- 3,0- 3,0- 0 0- 4,16- 6,0- 3,16- 5
Col. of Charleston,188,209,15-11,167 6-4,24 9- 7,5-6,6- 4,1- 0,0- 4 1- 4,13- 3,1- 4,13- 3
Southeastern La.,189,199,13-11,206 3-4,22 10- 7,5-7,8- 2,0- 0,0- 2 4- 7,9- 2,0- 2,9- 2
UCF,190,177,12-15,194 4-7,13 8- 8,3-7,5- 5,0- 4,2- 3 0- 2,10- 6,2- 7,10- 6
Evansville,191,123,10-19,230 4-5,6 6- 14,2-11,5- 5,1- 12,0- 1 4- 3,5- 3,1- 13,5- 3
Lamar,192,205,14-13,181 4-5,22 10- 8,7-6,5- 5,0- 2,0- 3 2- 3,12- 5,0- 5,12- 5
Radford,193,203,14-13,212 5-5,19,9- 8,5-8,4- 6,0- 2,0- 2,3- 6,11- 3,0- 4,11- 3
Eastern Ky.,194,176,13-16,173 2-6,20,11- 10,5-8,4- 6,0- 2,0- 4,6- 5,7- 5,0- 6,7- 5
Portland St.,195,170,10-16,186 5-6,17,5- 10,5-10,4- 6,0- 2,1- 3,1- 8,8- 3,1- 5,8- 3
Western Mich.,196,165,13-17,270 2-8,16,11- 9,3-10,5- 5,0- 2,2- 5,3- 9,8- 1,2- 7,8- 1
Yale,197,215,15-14,185 8-7,25,7- 7,4-10,4- 6,0- 2,1- 3,0- 3,14- 6,1- 5,14- 6
Texas-Arlington,198,177,10-16,190 3-6,22,7- 10,3-11,3- 7,0- 1,0- 4,5- 6,5- 5,0- 5,5- 5
Princeton,199,190,12-14,289 2-10,25,10- 4,5-8,7- 3,0- 0,1- 6,4- 2,7- 6,1- 6,7- 6
North Texas,200,176,11-14,141 5-4,18,6- 10,3-9,2- 8,0- 2,0- 4,3- 4,8- 4,0- 6,8- 4
Niagara,201,160,11-18,216 3-6,14,8- 12,3-10,4- 6,0- 1,1- 5,3- 9,7- 3,1- 6,7- 3
