SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,Q1,Q2,Q3,Q4
Merrimack,216,239,311,19-11,14-4,5-7,9-8,294,216,0-2,0-0,4-3,15-6
UIC,217,211,232,17-17,13-9,4-8,5-9,224,218,0-1,0-3,6-6,11-7
UCDavis,218,211,232,12-18,8-8,4-10,5-12,316,323,0-0,0-4,2-9,10-5
GeorgeWashington,219,158,126,12-20,6-13,6-7,3-9,110,199,0-5,3-4,2-4,7-7
AirForce,220,155,118,11-20,6-14,5-6,3-9,162,272,0-3,1-6,4-6,6-5
GreenBay,221,203,216,15-16,12-8,3-8,7-10,199,127,0-3,0-2,4-7,11-4
Oakland,222,209,229,13-19,9-11,4-8,4-12,210,87,0-3,0-1,3-10,10-5
Lafayette,223,225,266,18-12,11-9,7-3,10-7,273,315,0-1,1-1,7-2,10-8
Iona,224,226,271,12-17,10-12,2-5,4-9,250,282,0-2,0-0,1-7,11-8
Brown,225,188,183,14-12,8-6,6-6,5-8,163,126,0-3,2-1,3-4,9-4
SeattleU,226,218,248,12-15,7-7,5-8,3-10,305,317,0-3,0-3,0-3,12-6
NorthernAriz.,227,199,210,14-14,10-11,4-3,6-8,257,211,0-1,1-2,3-6,10-5
SamHoustonSt.,228,242,315,14-13,11-9,3-4,6-10,301,189,0-1,0-2,2-4,12-6
MontanaSt.,229,197,205,14-15,10-10,4-5,5-10,171,85,0-1,1-3,3-7,10-4
Louisiana,230,182,168,13-19,9-13,4-6,3-12,207,256,0-1,1-4,2-10,10-4
SanDiego,231,134,92,8-23,2-15,6-8,3-10,95,200,0-9,0-3,1-8,7-3
YoungstownSt.,232,225,266,16-15,11-9,5-6,5-11,284,227,0-3,0-1,2-8,14-3
CSUN,233,189,186,13-17,10-6,3-11,5-12,158,47,0-3,1-2,2-9,10-3
Omaha,234,186,179,15-16,9-8,6-8,4-13,133,15,0-4,1-4,3-6,11-2
WesternMich.,235,165,136,11-19,6-13,5-6,3-12,159,269,0-3,0-4,4-9,7-3
UMBC,236,214,241,12-17,9-9,3-8,5-10,187,197,0-2,1-1,0-8,11-6
Drexel,237,189,186,13-19,7-13,6-6,1-13,155,134,0-1,0-5,0-10,13-3
NewHampshire,238,233,296,13-15,8-9,5-6,5-12,322,342,0-2,0-1,0-6,13-6
Bucknell,239,204,222,14-20,10-11,4-9,4-14,161,46,0-2,0-2,4-8,10-8
SaintJoseph's,240,114,74,6-26,2-17,4-9,2-12,25,18,1-7,1-7,2-9,2-3
EasternIll.,241,256,344,15-15,10-10,5-5,5-11,348,349,0-2,0-2,1-2,14-9
Bryant,242,243,321,14-17,7-12,7-5,6-12,310,298,0-2,0-0,2-7,12-8
Navy,243,222,258,13-16,8-11,5-5,4-11,235,240,0-2,0-1,3-6,10-7
Fordham,244,176,154,9-22,3-16,6-6,1-8,177,334,0-4,0-6,1-6,8-6
Quinnipiac,245,239,311,15-15,10-10,5-5,5-9,275,299,0-0,0-1,2-6,13-8
Hartford,246,231,291,16-15,11-7,5-8,9-7,285,316,0-0,0-3,3-6,13-6
NorfolkSt.,247,262,352,13-14,12-4,1-10,4-12,344,213,0-0,0-3,1-4,12-7
LoyolaMaryland,248,236,306,14-17,7-12,7-5,5-13,338,351,0-2,0-1,2-7,12-7
NorthDakota,249,194,200,12-18,9-10,3-8,4-13,194,160,0-3,0-3,5-7,7-5
UtahValley,250,229,283,8-19,5-10,3-9,5-12,276,283,0-1,1-2,1-4,6-12
Jacksonville,251,230,288,12-18,7-10,5-8,7-9,288,212,0-3,0-2,0-4,12-9
UMKC,252,211,232,13-14,8-7,5-7,5-9,289,198,0-2,0-3,3-2,10-7
