SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,OPPSOS,NCOPPSOS,1-50,51-100,101-200,VTOP100
LIUBrooklyn,254,255,350,16-15,242,6-5,10-10,8-9,344,346,342,329,0-0,0-0,3-4,0-0
UMassLowell,255,206,261,10-18,289,3-9,7-9,5-12,261,283,279,273,0-2,0-2,2-8,0-4
SacredHeart,256,232,322,12-18,326,1-10,11-8,5-13,299,217,338,249,0-2,0-1,1-4,0-3
LoyolaMaryland,257,195,230,9-21,257,1-10,8-11,4-12,158,29,288,281,0-2,0-1,1-10,0-3
MontanaSt.,258,224,307,13-17,203,4-7,9-10,4-12,331,240,257,102,0-1,0-3,2-6,0-4
KennesawSt.,259,188,204,9-20,278,2-12,7-8,3-14,179,80,244,128,0-3,0-4,2-10,0-7
Liberty,260,198,239,10-19,347,0-10,10-9,5-9,235,228,250,145,0-3,0-1,4-7,0-4
IdahoSt.,261,240,336,14-15,314,3-7,11-8,5-10,347,338,284,206,0-1,0-0,1-6,0-1
AppalachianSt.,262,176,163,9-22,261,2-9,7-13,2-12,140,83,209,228,1-3,0-2,1-10,1-5
SaintFrancis(PA),263,226,315,12-17,227,3-7,9-10,5-11,291,153,331,185,0-2,0-0,2-5,0-2
Minnesota,264,124,71,8-23,237,6-6,2-17,0-9,110,241,72,143,1-8,0-4,3-10,1-12
Pacific,265,161,134,6-20,325,0-8,6-12,2-11,107,68,176,275,0-5,1-4,0-3,1-9
AlabamaSt.,266,234,325,12-17,168,3-7,9-10,5-12,316,107,347,287,0-0,1-3,1-8,1-3
WesternIll.,267,162,136,7-17,195,4-4,3-13,3-11,201,321,147,182,1-3,0-3,3-9,1-6
UCRiverside,268,204,258,12-19,246,7-7,5-12,7-9,303,324,223,341,0-0,2-8,1-2,2-8
FIU,269,208,268,11-19,282,4-7,7-12,5-8,240,281,287,347,0-0,0-4,2-8,0-4
Lipscomb,270,198,239,10-21,266,2-13,8-8,5-9,197,77,289,235,0-2,0-4,3-10,0-6
EasternIll.,271,200,243,11-17,331,2-9,9-8,4-9,293,261,234,232,0-1,1-2,3-9,1-3
YoungstownSt.,272,181,175,9-21,250,3-8,6-13,4-11,215,197,192,172,0-4,0-1,2-12,0-5
StFrancisBrooklyn,273,241,338,14-17,309,3-9,11-8,6-11,337,314,319,218,0-1,0-0,0-5,0-1
UtahValley,274,205,260,9-18,251,3-9,6-9,5-9,245,162,285,301,0-2,0-4,1-6,0-6
Delaware,275,145,101,7-23,182,5-6,2-17,2-15,155,288,100,76,0-1,0-9,1-11,0-10
SacramentoSt.,276,224,307,12-17,210,5-4,7-13,3-11,302,336,310,155,0-0,0-1,5-5,0-1
ClevelandSt.,277,162,136,7-23,198,3-8,4-15,3-10,134,39,195,149,0-5,1-1,0-14,1-6
Rice,278,194,226,10-20,268,3-8,7-12,3-11,209,168,237,243,0-2,0-3,3-6,0-5
UCDavis,279,188,204,9-19,292,3-8,6-11,3-11,221,266,206,324,0-1,0-9,0-3,0-10
Penn,279,189,209,10-17,299,5-8,5-9,2-11,271,327,152,142,0-6,0-2,1-3,0-8
Dartmouth,281,190,214,9-18,273,5-8,4-10,2-12,219,290,226,319,0-5,0-1,1-7,0-6
CSUN,282,186,193,8-20,287,3-9,5-11,4-12,237,284,196,300,0-0,0-9,1-4,0-9
PortlandSt.,283,226,315,11-18,336,2-7,9-11,4-11,285,333,329,280,0-0,0-2,0-8,0-2
ArkansasSt.,284,188,204,9-20,317,2-7,7-13,2-14,206,247,212,251,1-3,0-0,3-6,1-3
Seattle,285,215,285,13-17,316,5-9,8-8,3-8,301,273,293,321,0-1,1-4,1-6,1-5
SavannahSt.,286,246,342,14-16,279,3-8,11-8,2-12,340,201,332,92,0-3,0-0,0-3,0-3
Jacksonville,287,232,322,12-16,319,4-9,8-7,4-11,342,331,263,259,0-1,0-2,2-4,0-3
UMKC,288,195,230,9-19,217,4-8,5-11,2-13,264,216,218,119,1-2,0-3,1-8,1-5
CalStFullerton,289,188,204,8-20,230,5-6,3-14,5-11,276,335,175,217,0-1,1-10,0-0,1-11
RobertMorris,290,220,298,10-22,294,2-11,8-11,5-14,265,180,327,205,0-0,0-2,1-9,0-2
Bethune-Cookman,291,253,348,12-18,302,2-11,10-7,5-13,339,271,348,316,0-2,0-1,0-4,0-3
Hartford,292,202,251,9-23,311,4-10,5-13,6-11,234,298,294,311,0-3,0-3,1-7,0-6
Rutgers,293,133,82,6-25,284,5-7,1-18,0-11,123,272,80,221,0-9,0-5,0-9,0-14
NorthTexas,294,200,243,10-20,318,3-8,7-12,1-12,223,214,256,323,0-0,0-4,2-10,0-4
Troy,295,185,188,7-22,235,3-6,4-16,4-10,198,215,222,279,0-3,0-2,1-9,0-5
NorthernKy.,296,179,167,7-21,288,2-7,5-14,2-13,187,178,219,223,0-4,0-2,3-9,0-6
CharlestonSo.,297,184,184,6-21,256,1-7,5-14,3-12,181,41,252,42,0-2,1-2,0-11,1-4
Quinnipiac,298,202,251,9-21,286,3-6,6-15,3-11,259,274,258,334,0-1,0-4,1-6,0-5
SanJoseSt.,299,162,136,6-22,330,2-7,4-15,0-13,152,282,146,349,0-2,1-2,3-13,1-4
Stetson,300,217,292,8-22,315,2-11,6-11,5-13,286,243,295,308,0-1,0-1,3-9,0-2
FlaAtlantic,301,187,197,7-24,305,1-10,6-14,2-14,210,196,199,102,0-1,0-6,2-6,0-7
SanDiego,302,183,181,8-21,293,4-6,4-15,1-11,258,340,136,161,1-4,0-3,0-3,1-7
Binghamton,303,201,247,8-22,307,3-10,5-12,3-13,229,239,298,317,0-2,0-3,0-9,0-5
Bradley,304,154,120,4-27,312,1-11,3-16,1-12,115,99,151,156,0-5,0-5,2-9,0-10
NorthernColo.,305,213,277,8-21,343,1-9,7-12,3-10,247,269,304,179,0-2,0-0,2-9,0-2
SIUE,306,188,204,6-22,240,3-9,3-13,3-11,203,92,253,250,0-0,0-6,1-9,0-6
UMES,307,224,307,9-22,249,2-12,7-10,3-17,318,109,291,46,0-3,0-2,1-4,0-5
Campbell,308,225,313,9-18,275,4-4,5-14,5-8,327,345,297,335,0-0,0-1,2-8,0-1
Brown,309,191,220,7-20,324,4-9,3-11,1-13,252,319,201,302,0-6,0-0,0-7,0-6
Ark.-PineBluff,310,220,298,8-25,229,2-12,6-13,4-18,309,118,305,58,0-3,0-4,0-6,0-7
JacksonvilleSt.,311,190,214,6-23,337,2-11,4-12,2-12,212,270,273,330,0-0,1-7,0-8,1-7
SouthernMiss.,312,204,258,7-20,295,2-7,5-13,2-12,272,260,235,210,0-0,0-4,2-6,0-4
Presbyterian,313,214,281,8-20,341,2-6,6-14,3-11,311,326,282,256,0-0,0-0,2-12,0-0
Maine,314,214,281,8-22,323,4-9,4-13,3-14,295,318,299,333,0-1,0-2,1-9,0-3
N.CCentral,315,254,349,10-19,298,2-9,8-10,3-12,336,194,349,312,0-0,0-2,0-6,0-2
NichollsSt.,316,219,295,8-23,220,1-10,7-13,1-17,282,12,324,107,0-3,0-5,2-5,0-8
VMI,317,186,193,6-21,254,2-6,4-15,1-14,233,207,229,194,0-0,0-7,1-6,0-7
Niagara,318,195,230,7-25,322,2-9,5-16,1-15,232,234,241,297,0-2,0-4,0-7,0-6
Longwood,319,213,277,7-23,345,1-9,6-14,4-12,304,317,286,272,0-0,0-0,3-11,0-0
Bryant,320,216,288,7-23,280,2-10,5-13,4-13,280,169,310,140,0-3,0-1,0-6,0-4
Marist,321,203,254,7-23,283,3-6,4-17,2-12,257,279,259,346,0-0,0-4,1-6,0-4
Drake,322,172,153,6-24,285,4-7,2-17,0-12,225,300,149,212,0-3,0-5,2-7,0-8
USCUpstate,323,221,301,7-21,310,3-10,4-11,3-12,277,231,323,340,0-1,0-1,2-8,0-2
TheCitadel,324,207,265,7-22,271,4-6,3-16,3-13,306,341,264,336,0-0,0-5,2-6,0-5
AbileneChristian,325,238,332,9-18,349,1-8,8-10,2-12,334,329,336,303,0-0,0-3,0-9,0-3
Lafayette,326,203,254,6-24,265,3-8,3-16,2-15,241,204,274,258,0-2,0-1,0-7,0-3
CoppinSt.,327,222,304,7-22,296,0-11,7-11,3-14,313,56,301,25,0-4,0-2,0-4,0-6
Howard,328,239,334,10-20,277,4-9,6-11,2-12,338,253,330,214,0-1,1-1,1-7,1-2
MorganSt.,329,235,327,8-22,290,1-11,7-11,2-15,305,126,346,315,0-1,0-1,0-8,0-2
MississippiVal.,330,231,321,8-27,334,0-14,8-13,3-19,307,119,345,298,0-0,0-4,0-9,0-4
AlabamaA&M,331,251,347,10-18,222,3-5,7-13,4-12,351,320,341,216,0-0,0-1,1-7,0-1
SoutheasternLa.,332,242,339,10-21,348,0-11,10-10,2-15,343,223,334,192,0-1,0-5,0-5,0-6
NorthernAriz.,333,193,224,3-25,274,0-9,3-16,1-15,151,6,318,175,0-3,0-1,1-8,0-4
PrairieView,334,221,301,7-24,339,0-12,7-12,3-16,322,187,312,65,0-3,0-1,3-6,0-4
UTRGV,335,213,277,5-22,344,1-11,4-11,1-13,256,232,309,343,0-1,0-3,0-7,0-4
SouthernUtah,336,212,276,4-24,321,1-8,3-16,3-13,270,254,300,177,0-2,0-1,1-7,0-3
Lamar,337,242,339,7-19,241,4-4,3-15,4-10,341,337,340,326,0-0,0-5,0-4,0-5
UMBC,338,215,285,7-25,340,4-11,3-14,2-15,320,348,283,314,0-0,0-3,0-10,0-3
CentralArk.,339,235,327,7-21,313,1-9,6-12,2-14,335,188,317,138,0-3,0-4,0-4,0-7
N.CA&T,340,248,345,10-21,338,3-11,7-10,2-13,350,308,322,168,0-2,0-2,0-4,0-4
McNeeseSt.,341,238,332,7-19,291,0-7,7-12,2-13,345,57,315,12,0-2,0-3,2-3,0-5
SoutheastMoSt.,342,201,247,3-24,329,1-10,2-14,2-14,266,237,267,309,0-1,0-4,0-8,0-5
NewOrleans,343,247,344,7-20,320,1-7,6-13,3-14,349,304,335,164,0-0,0-3,0-7,0-3
NorthwesternSt.,344,224,307,5-19,300,0-6,5-13,1-13,326,73,320,5,0-2,0-4,0-5,0-6
DelawareSt.,345,229,318,5-25,342,0-13,5-12,1-17,314,184,325,176,0-1,0-4,0-5,0-5
Ill.-Chicago,346,187,197,3-25,351,0-9,3-16,0-13,268,343,198,196,0-2,0-0,1-13,0-2
UTSA,347,211,272,4-26,346,1-10,3-16,1-14,315,307,246,289,0-1,0-4,0-7,0-5
ChicagoSt.,348,186,193,1-28,335,1-13,0-15,0-16,216,211,232,150,0-2,0-2,0-12,0-4
FloridaA&M,349,269,351,6-21,333,2-9,4-12,1-14,346,275,351,351,0-0,0-1,0-3,0-1
Grambling,350,233,324,4-24,328,0-9,4-15,1-15,329,96,343,222,0-0,0-2,0-9,0-2
CentralConnSt.,351,245,341,4-25,350,1-10,3-15,1-14,348,349,326,242,0-2,0-0,0-3,0-2
