SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,OPPSOS,NCOPPSOS,1-50,51-100 101-200 VTOP100
LSU,87,121,55,18-15,108,10-5,8-10,4-9,51,195,54,165,2-5,2-6,10-4,4-11
"",,RPI,Rank,Record,RPI,Record,Record,Record,SOS,SOS,SOS,SOS,1-50,51-100 101-200 100
Lehigh,88,204,266,26-8,101,12-5,14-3,12-6,271,301,202,110,1-3,3-1 6-4 4-4
Cleveland St.,89,161,138,21-11,39,9-4,12-7,11-5,130,60,151,108,1-1,3-4 8-5 4-5
Tennessee,90,109,33,18-15,181,8-8,10-7,3-8,35,122,32,84,4-7,2-4 8-4 6-11
Dayton,91,120,51,20-13,90,10-5,10-8,3-8,85,136,56,36,4-4,4-4 8-3 8-8
Wyoming,92,148,116,19-12,83,13-3,6-9,5-9,114,280,113,303,2-7,1-1 7-4 3-8
Wagner,93,206,272,25-6,44,9-2,16-4,12-3,272,173,242,146,0-1,3-4 4-0 3-5
 Illinois,94,100,22,17-15,53,11-2,6-13,2-8,36,162,17,176,3-10,4-2 5-3 7-12
La Salle,95,142,105,21-13,109,11-5,10-8,6-8,125,232,102,202,1-4,4-5 10-3 5-9
Denver,96,180,191,22-9,47,10-3,12-6,7-6,206,109,160,98,2-3,2-0 8-5 4-3
Robert Morris,97,196,237,26-11,48,11-5,15-6,14-8,224,121,227,149,1-1,3-4 5-4 4-5
Mercer,98,183,203,26-11,54,12-5,14-6,12-8,220,171,172,113,0-2,0-3 10-4 0-5
 Illinois St.,99,143,108,21-14,111,10-4,11-10,4-9,116,237,106,213,1-5,3-3 10-3 4-8
Valparaiso,100,164,145,20-12,149,5-7,15-5,8-9,158,164,136,65,0-1,3-2 10-6 3-3
UNC Asheville,101,201,253,21-10,171,2-8,19-2,8-5,171,20,243,6,0-5,0-1 3-3 0-6
Old Dominion,102,152,122,22-14,110,8-8,14-6,8-4,87,22,143,101,1-4,1-7 9-3 2-11
Fairfield,103,159,131,22-15,121,7-8,15-7,5-8,94,44,185,174,1-3,2-6 8-5 3-9
Georgia,104,100,22,15-17,91,9-5,6-12,2-9,24,73,36,137,3-10,4-4 4-3 7-14
Penn,105,153,123,20-13,137,9-10,11-3,8-6,101,64,154,140,1-3,3-5 10-4 4-8
Butler,106,154,125,21-15,86,8-7,13-8,7-9,111,40,145,69,1-4,2-5 9-5 3-9
Texas-Arlington,107,217,299,23-9,135,7-7,16-2,9-7,275,201,267,157,0-1,0-3 6-4 0-4
Yale,108,186,215,17-10,104,8-5,9-5,7-9,225,256,179,254,0-3,1-2 6-5 1-5
Loyola Marymount,109,156,126,19-13,134,8-7,11-6,9-4,96,75,141,264,3-6,2-1 5-5 5-7
Maryland,110,121,55,17-15,114,10-4,7-11,1-8,62,204,38,96,1-10,2-4 6-1 3-14
Duquesne,111,120,51,15-15,93,8-5,7-10,4-9,56,99,93,133,0-4,5-9 7-1 5-13
Tennessee St.,112,182,200,18-13,122,6-7,12-6,7-9,142,128,216,249,1-4,0-3 5-4 1-7
Lamar,113,200,251,21-12,73,7-7,14-5,8-9,195,61,254,78,0-4,0-1 7-4 0-5
Kent St.,114,172,169,20-12,115,9-5,11-7,7-7,172,197,171,253,1-1,2-5 4-5 3-6
UAB,115,126,68,15-16,173,5-8,10-8,6-8,52,70,99,167,1-8,2-4 5-3 3-12
Arkansas,116,126,68,18-14,78,12-3,6-11,1-9,65,154,90,310,2-5,2-6 9-2 4-11
"",,,,Record,RPI,Record,Record,Record,SOS,SOS,SOS,,1-50,51-100 101-200 100
"",,RPI,Rank,,,,,,,,,SOS,,
Norfolk St.,117,217,299,25-9,56,9-6,16-3,10-4,259,50,303,128,1-3,2-1 2-2 3-4
Virginia Tech,118,116,47,16-17,63,11-4,5-13,3-8,37,90,49,95,0-10,2-3 8-3 2-13
TCU,119,129,77,17-15,160,10-7,7-8,3-9,86,246,78,175,3-6,2-2 7-5 5-8
Villanova,120,93,7,13-19,92,7-5,6-14,2-9,19,45,33,178,0-15,2-3 9-0 2-18
Tulsa,121,143,108,17-14,142,7-7,10-7,6-6,112,102,104,92,0-4,3-3 8-4 3-7
Oklahoma St.,122,106,30,14-18,156,6-6,8-12,2-9,34,157,25,70,2-11,1-3 5-4 3-14
UCLA,123,136,92,18-14,200,6-6,12-8,3-7,108,140,72,48,0-4,4-7 4-3 4-11
 Iowa,124,115,45,18-17,218,9-6,9-11,3-9,80,270,24,226,4-8,4-5 4-3 8-13
Col. of Charleston,125,181,196,19-12,15,9-3,10-9,7-6,153,10,232,120,0-1,3-3 7-2 3-4
UC Santa Barbara,126,190,223,18-11,127,4-6,14-5,7-7,192,78,222,22,0-7,0-1 3-2 0-8
Vermont,127,209,279,24-12,136,8-9,16-3,11-6,221,123,314,144,0-5,0-1 6-4 0-6
Missouri St.,128,132,81,15-16,117,6-6,9-10,8-6,93,93,83,74,2-5,1-5 5-6 3-10
Milwaukee,129,164,145,18-14,102,6-6,12-8,7-10,181,141,125,24,0-3,2-3 7-6 2-6
Detroit,130,164,145,20-14,205,5-7,15-7,6-8,177,175,130,27,0-3,2-6 9-4 2-9
Richmond,131,138,101,16-16,95,9-6,7-10,4-11,104,106,112,222,1-4,3-7 5-5 4-11
Oregon St.,132,142,105,20-15,100,11-2,9-13,4-7,134,283,87,143,1-2,5-8 5-4 6-10
S.C. Upstate,133,190,223,19-13,138,6-7,13-6,7-10,223,188,196,170,0-1,1-4 4-5 1-5
Utah St.,134,165,152,20-16,145,11-9,9-7,4-10,106,110,181,287,1-3,0-6 8-3 1-9
Oakland,135,166,154,19-16,113,8-8,11-8,8-9,135,71,173,102,1-4,3-4 3-5 4-8
Georgia St.,136,190,223,22-12,139,10-4,12-8,8-6,239,309,195,295,1-1,1-5 4-4 2-6
 Indiana St.,137,147,113,17-15,124,8-4,9-11,4-9,154,261,91,142,1-5,2-4 6-4 3-9
 Idaho,138,174,174,17-14,163,8-7,9-7,7-8,159,223,158,288,1-2,1-2 6-5 2-4
Oklahoma,139,125,65,15-16,85,10-2,5-14,1-8,73,231,57,299,2-10,1-2 4-3 3-12
Manhattan,140,193,231,21-13,128,9-5,12-8,10-8,261,298,166,188,1-3,0-3 2-5 1-6
Tennessee Tech,141,185,208,17-14,141,7-6,10-8,7-8,166,215,231,238,0-3,0-2 6-5 0-5
Drake,142,147,113,17-16,176,7-6,10-10,3-10,136,228,101,192,2-4,1-6 4-6 3-10
Evansville,143,136,92,15-16,219,5-6,10-10,4-8,91,182,88,89,1-6,3-2 5-6 4-8
Washington St.,144,148,116,18-18,119,10-6,8-12,6-10,138,229,105,162,1-2,3-9 5-4 4-11
Auburn,145,124,61,15-16,116,10-4,5-12,1-10,92,242,59,219,1-7,3-6 4-3 4-13
"",,RPI,Rank,Record,RPI,Record,Record,Record,SOS,SOS,SOS,SOS,1-50,51-100 101-200 100
UTEP,146,143,108,15-17,132,7-7,8-10,1-11,70,53,123,199,2-4,1-4 5-5 3-8
Nebraska,147,105,29,12-18,129,8-3,4-15,3-9,53,257,10,218,2-10,1-5 3-3 3-15
San Francisco,148,171,165,18-14,177,8-5,10-9,5-6,180,251,129,301,1-7,1-1 4-5 2-8
Stony Brook,149,228,328,21-10,234,5-7,16-3,7-8,317,284,312,82,0-1,0-2 6-4 0-3
Clemson,150,150,120,16-15,228,8-6,8-9,4-8,150,296,75,278,2-3,1-3 7-7 3-6
Green Bay,151,153,123,13-15,143,3-6,10-9,3-13,127,37,147,44,0-2,3-3 3-10 3-5
Mississippi Val.,152,224,316,21-13,248,1-12,20-1,8-11,306,49,311,4,0-5,0-2 1-4 0-7
American,153,208,278,20-12,211,9-7,11-5,7-10,294,327,238,207,0-1,2-5 6-3 2-6
Delaware,154,181,196,18-14,232,5-7,13-7,6-10,236,252,146,205,0-2,3-2 5-7 3-4
Providence,155,129,77,15-17,130,11-2,4-15,4-8,121,334,39,257,2-10,0-5 5-2 2-15
St. John's (NY),156,111,38,13-19,192,7-6,6-13,2-10,45,163,37,151,2-10,2-4 4-5 4-14
Quinnipiac,157,198,246,18-14,99,7-5,11-9,9-9,218,151,287,290,0-0,2-6 3-3 2-6
Louisiana Tech,158,170,162,16-16,193,8-7,8-9,4-10,149,273,159,302,1-3,0-4 4-7 1-7
Western Ill.,159,179,187,14-15,194,3-5,11-10,5-10,139,200,226,267,0-4,1-3 4-3 1-7
Penn St.,160,97,13,12-20,144,8-5,4-15,1-11,42,211,5,76,2-11,2-5 4-4 4-16
Rutgers,161,117,49,14-18,199,8-5,6-13,2-8,78,236,46,270,4-6,2-7 2-5 6-13
Cal St. Fullerton,162,227,325,19-10,179,7-5,12-5,7-7,318,299,293,317,1-2,0-0 3-2 1-2
Charleston So.,163,218,303,16-12,97,4-4,12-8,6-10,260,153,291,75,0-3,0-0 2-4 0-3
Rice,164,159,131,16-16,161,8-7,8-9,7-7,173,221,118,185,0-4,1-3 5-8 1-7
Bowling Green,165,162,142,15-16,169,6-8,9-8,4-12,165,185,128,45,2-2,0-5 4-7 2-7
Texas A&M,166,126,68,13-18,190,8-3,5-15,2-8,69,308,53,322,0-12,0-3 4-3 0-15
East Carolina,167,133,84,11-16,178,5-4,6-12,3-8,78,207,111,324,0-5,1-4 4-5 1-9
Morehead St.,168,186,215,15-15,182,4-8,11-7,6-9,188,119,224,210,0-2,1-3 4-6 1-5
South Ala.,169,185,208,16-12,107,7-3,9-9,6-6,251,244,167,161,0-2,1-5 4-3 1-7
Charlotte,170,142,105,13-17,133,8-5,5-12,6-10,147,243,100,241,0-5,2-6 3-6 2-11
Western Ky.,171,161,138,16-19,152,5-10,11-9,3-8,117,25,165,100,0-5,2-4 7-4 2-9
East Tenn. St.,172,189,222,16-14,166,5-5,11-9,6-10,255,289,203,200,0-0,1-5 5-4 1-5
North Florida,173,173,172,15-16,140,5-7,10-9,5-12,196,130,177,71,0-4,1-4 1-7 1-8
Air Force,174,135,90,11-16,185,8-4,3-12,2-7,66,271,119,334,1-9,1-3 1-4 2-12
Youngstown St.,175,174,174,14-15,237,3-6,11-9,6-10,201,259,164,198,0-0,2-5,5-7,2-5
Northeastern,176,167,156,14-17,150,4-7,10-10,6-11,184,139,135,107,0-3,1-5,5-6,1-8
UALR,177,172,169,14-16,275,2-11,12-5,6-8,160,74,161,97,0-2,2-3,3-8,2-5
Wofford,178,209,279,17-14,222,5-7,12-7,7-10,295,312,212,104,0-1,0-3,3-3,0-4
Holy Cross,179,196,237,15-14,206,6-8,9-6,4-11,222,220,252,268,0-2,2-2,3-8,2-4
Coastal Caro.,180,217,299,15-12,235,3-5,12-7,7-7,254,262,301,90,0-0,1-0,4-5,1-0
Boise St.,181,127,74,12-17,153,9-5,3-12,1-11,115,317,67,156,1-9,0-4,5-3,1-13
Wake Forest,182,137,97,13-18,146,9-5,4-13,3-8,126,225,63,224,0-6,1-4,4-7,1-10
North Dakota St.,183,188,221,15-14,131,6-4,9-10,5-9,246,282,191,212,0-2,0-4,5-3,0-6
McNeese St.,184,202,257,14-16,251,2-9,12-7,6-11,191,104,309,217,0-2,0-1,4-8,0-3
Portland St.,185,206,272,15-15,201,4-8,11-7,5-11,226,143,304,307,0-0,0-8,1-3,0-8
Cornell,186,157,127,11-16,230,4-9,7-7,2-13,120,84,205,281,0-2,2-5,3-9,2-7
Columbia,187,175,179,13-15,103,9-5,4-10,5-9,179,169,214,314,0-3,1-2,6-7,1-5
Savannah St.,188,231,332,19-12,261,5-9,14-3,6-10,335,266,272,67,0-3,0-1,0-5,0-4
George Washington,189,124,61,10-21,168,5-9,5-12,2-12,61,66,98,130,0-8,0-8,7-2,0-16
Boston U.,190,204,266,16-16,216,4-11,12-5,8-10,245,137,288,77,0-1,0-6,2-7,0-7
San Diego,191,162,142,11-18,269,3-8,8-10,4-8,110,124,163,333,0-8,0-2,1-5,0-10
South Carolina,192,115,45,10-21,189,8-6,2-15,1-9,38,183,55,275,1-9,0-5,5-5,1-14
DePaul,193,129,77,12-19,202,9-3,3-16,3-8,131,331,44,306,0-10,2-4,2-5,2-14
Austin Peay,194,159,131,11-20,186,3-11,8-9,4-12,99,24,200,118,0-4,1-5,2-7,1-9
La.-Lafayette,195,184,205,15-16,255,5-9,10-7,5-9,208,184,223,283,0-0,2-4,5-10,2-4
Georgia Tech,196,132,81,11-20,164,7-7,4-13,3-9,100,160,70,221,2-5,0-7,4-5,2-12
Lafayette,197,185,208,13-18,241,5-10,8-8,7-11,174,192,251,249,0-1,0-9,3-6,0-10
UTSA,198,215,295,16-14,184,6-7,10-7,8-8,292,260,268,184,0-1,1-0,3-6,1-1
Rider,199,169,158,13-19,247,3-10,10-9,5-10,143,107,204,276,0-3,1-6,2-5,1-9
North Texas,200,191,229,15-14,258,4-6,11-8,5-8,280,278,178,182,0-0,1-5,5-6,1-5
Niagara,201,176,183,14-19,180,5-8,9-11,5-10,164,101,229,296,0-4,1-6,1-7,1-10
Fla. Gulf Coast,202,180,191,14-17,250,4-6,10-11,5-11,203,249,229,269,0-0,1-7,2-8,1-7
Hawaii,203,170,162,14-16,272,7-7,7-9,3-7,178,294,153,285,1-4,1-3,3-6,2-7
"",,RPI,Rank,,,,,,,,,SOS,,,,
Stephen F. Austin,204,227,325,16-12,309,3-7,13-5,7-6,313,322,302,247,0-0,0-1,3-7,0-1
Ga. Southern,205,203,262,13-15,331,0-8,13-7,4-12,253,166,244,168,0-1,0-3,2-6,0-4
Fla. Atlantic,206,160,135,10-19,151,3-9,7-10,4-11,129,33,149,56,0-3,2-5,3-6,2-8
Campbell,207,222,312,16-15,239,5-7,11-8,6-12,307,320,271,190,0-2,0-0,5-4,0-2
Western Mich.,208,169,158,13-20,120,5-9,8-11,2-13,141,26,193,40,0-7,0-3,3-5,0-10
Eastern Wash.,209,202,257,13-17,167,4-8,9-9,6-13,237,158,264,236,0-2,0-6,1-5,0-8
St. Francis (NY),210,217,299,15-15,298,3-8,12-7,7-10,286,319,290,321,0-0,1-5,2-4,1-5
Houston,211,169,158,14-15,257,7-5,7-10,2-8,210,304,127,308,1-1,0-3,6-8,1-4
 IUPUI,212,176,183,12-18,155,5-6,7-12,3-12,155,142,217,265,0-5,1-2,4-5,1-7
UNC Wilmington,213,161,138,10-21,158,4-7,6-14,4-12,118,98,180,232,0-2,1-7,2-8,1-9
Siena,214,179,187,14-17,243,5-6,9-11,3-10,212,287,188,209,1-1,1-5,4-5,2-6
Lipscomb,215,175,179,12-18,210,4-7,8-11,5-11,200,181,194,135,0-3,1-6,2-6,1-9
SMU,216,151,121,11-19,159,7-6,4-13,3-9,151,222,115,187,0-3,0-5,5-7,0-8
CSU Bakersfield,217,214,293,13-15,223,13-15,0-0,5-12,282,274,276,325,0-2,0-3,3-4,0-5
Northwestern St.,218,202,257,13-16,148,5-7,8-9,5-11,250,167,270,164,0-2,0-2,3-8,0-4
Marist,219,185,208,14-18,170,6-6,8-12,2-12,205,198,208,292,0-5,1-2,2-7,1-7
Western Caro.,220,201,253,15-18,183,4-7,11-11,4-12,274,205,210,37,0-3,0-3,3-4,0-6
Utah Valley,221,242,342,16-13,254,7-11,9-2,5-10,332,245,325,313,0-0,0-4,1-4,0-4
Albany (NY),222,232,333,19-15,197,9-7,10-8,6-10,329,318,324,234,0-1,0-2,1-10,0-3
Cal Poly,223,216,297,16-15,204,7-6,9-9,5-10,310,313,272,273,0-4,0-0,2-5,0-4
Arkansas St.,224,173,172,13-20,203,5-9,8-11,2-14,176,125,190,179,0-4,2-3,2-11,2-7
Jacksonville St.,225,191,229,13-17,226,4-8,9-9,3-10,216,127,249,315,0-3,0-2,4-7,0-5
Wright St.,226,160,135,12-19,207,5-7,7-12,4-11,183,191,134,73,0-4,1-3,3-12,1-7
Fresno St.,227,164,145,11-20,172,8-8,3-12,3-12,161,247,140,231,0-2,1-6,3-8,1-8
Eastern Ky.,228,209,279,14-16,154,7-6,7-10,4-11,266,254,285,340,0-1,0-2,2-8,0-3
Elon,229,196,237,13-16,208,3-6,10-10,4-11,276,189,184,16,0-3,1-3,2-3,1-6
Central Conn. St.,230,200,251,13-16,285,3-7,10-9,3-12,241,240,259,200,0-1,2-7,0-3,2-8
N.C. Central,231,230,331,13-15,209,2-8,11-7,6-11,314,76,327,154,0-2,0-2,0-5,0-4
Furman,232,202,257,13-16,224,4-5,9-11,5-10,279,302,239,193,0-0,0-4,3-5,0-4
Southern Utah,233,190,223,12-17,312,3-6,9-11,4-10,242,336,220,319,0-4,0-3,3-5,0-7
Texas Southern,234,224,316,15-18,244,1-11,14-7,4-16,303,28,335,18,0-4,0-3,0-5,0-7
Bethune-Cookman,235,226,323,16-17,301,2-11,14-6,5-12,316,227,323,141,0-2,0-3,1-6,0-5
UNC Greensboro,236,187,219,12-19,264,1-10,11-9,4-12,233,72,167,7,0-4,0-4,2-3,0-8
Monmouth,237,186,215,12-20,289,2-11,10-9,5-12,209,209,206,55,0-3,1-7,0-6,1-10
Portland,238,134,86,6-24,191,2-10,4-14,1-14,63,17,116,58,0-10,0-2,1-10,0-12
Sacred Heart,239,205,270,14-18,227,6-7,8-11,5-11,263,272,280,298,0-1,0-6,4-4,0-7
Arizona St.,240,140,102,10-21,274,4-8,6-13,2-8,132,202,96,185,0-4,1-8,5-5,1-12
Texas Tech,241,124,61,8-23,214,7-5,1-18,1-11,84,285,64,331,0-10,0-3,2-10,0-13
Toledo,242,205,270,17-17,242,8-7,9-10,5-7,290,277,248,311,1-2,0-4,3-3,1-6
Fordham,243,149,118,10-19,196,7-6,3-13,1-13,148,253,121,305,1-5,1-6,2-5,2-11
