SCHOOLNAME,RPI,ORIGRPI,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,201-999,VTOP100,VBELOW166
FloridaA&M,220,239,13-15,178,3-6,30,10-9,5-11,6-4,0-5,0-0,1-6,12-4,0-5,12-8
Wagner,221,236,13-17,308,1-8,29,12-9,7-11,8-2,0-1,0-1,4-6,9-9,0-2,13-12
Liberty,222,230,12-15,301,1-9,27,11-6,5-10,6-4,0-2,0-4,0-3,12-6,0-6,12-7
WeberSt.,223,231,13-16,237,4-8,28,9-8,4-12,6-4,0-1,0-2,3-4,10-9,0-3,12-10
RobertMorris,224,232,13-15,227,2-7,29,11-8,6-9,5-5,0-2,0-2,0-5,13-6,0-4,13-9
Samford,225,237,13-13,283,3-6,25,10-7,4-10,4-6,0-0,0-1,5-6,8-6,0-1,8-8
PennSt.,226,214,6-23,189,5-7,6,1-16,1-9,0-10,0-13,0-3,2-6,4-1,0-16,4-3
Brown,227,238,12-16,204,7-7,18,5-9,6-9,3-7,0-0,0-5,5-5,7-6,0-5,10-9
Wofford,228,241,10-14,239,3-4,20,7-10,4-10,6-4,0-0,0-4,5-6,5-4,0-4,8-6
SouthernMiss.,229,217,8-17,156,6-3,9,2-14,1-9,1-9,1-4,1-4,1-7,5-2,2-8,5-4
FlaAtlantic,230,244,10-17,310,0-7,21,10-10,7-8,6-4,0-2,0-2,1-6,9-7,0-4,9-8
Delaware,231,223,11-20,247,3-8,14,8-12,3-11,4-6,0-4,1-7,2-7,8-2,1-11,8-2
UCSantaBarb.,232,227,11-18,223,3-6,17,8-12,2-13,3-7,0-3,0-3,4-8,7-4,0-6,9-6
CharlestonSo.,233,235,12-16,217,3-6,27,9-10,5-9,5-5,0-1,0-5,1-1,11-9,0-6,12-9
