SCHOOLNAME,RPI ORIGRPI,RECORD,NONCONFRPI NONCONFRECORD,CONFRPI CONFRECORD,ROAD,L10,1-50,51-100 101-200,201-999,VTOP100,VBELOW166
Col. of Charleston,145 140,18-10,105 8-3,20 10- 7,5-6,6- 4,0- 0,1- 4 7- 5,10- 1,1- 4,14- 4
Wis.-Green Bay,146 146,16-11,106 6-4,19 10- 7,7-6,4- 6,0- 3,1- 1 5- 4,10- 3,1- 4,13- 6
Drake,147 137,13-16,153 5-4,8 8- 12,3-9,6- 4,1- 9,1- 3 5- 2,6- 2,2- 12,9- 2
Southern Methodist,148 144,13-14,154 4-4,12 9- 10,4-9,5- 5,0- 6,0- 4 3- 4,10- 0,0- 10,10- 0
Louisiana Tech,149 149,14-15,161 5-5,12 9- 10,5-9,3- 7,1- 5,0- 2 5- 4,8- 4,1- 7,8- 4
Richmond,150 152,14-15,117 5-6,15 9- 9,4-10,4- 6,1- 3,1- 7 4- 4,8- 1,2- 10,8- 2
Portland,151 150,14-15,126 10-4,7 4- 11,5-8,2- 8,0- 4,2- 5 6- 6,6- 0,2- 9,10- 0
Fresno St.,152 142,15-14,151 5-4,12 10- 10,5-7,3- 7,2- 4,0- 4 5- 3,8- 3,2- 8,8- 3
Coppin St.,153 174,14-15,165 0-9,30 14- 6,7-11,6- 4,0- 7,0- 1 2- 3,12- 4,0- 8,12- 6
George Mason,154 157,16-13,176 6-4,14 10- 9,5-8,5- 5,1- 2,1- 6 3- 3,11- 2,2- 8,13- 2
 Ill.-Chicago,155 158,13-13,47 4-4,19 9- 9,5-8,5- 5,0- 2,1- 3 5- 5,7- 3,1- 5,10- 5
Michigan,156 132,13-18,75 9-5,6 4- 13,2-8,1- 9,1- 11,2- 4 5- 3,5- 0,3- 15,7- 1
Gardner-Webb,157 164,16-12,297 1-4,21 15- 8,5-9,7- 3,0- 0,0- 3 3- 3,13- 6,0- 3,14- 6
Montana,158 166,16-12,173 4-7,28 12- 5,4-10,8- 2,0- 2,0- 3 2- 2,14- 5,0- 5,15- 6
Sam Houston St.,159 169,14-12,197 2-6,26 12- 6,5-8,6- 4,0- 2,0- 2 4- 5,10- 3,0- 4,11- 4
Georgia St.,160 171,13-15,101 2-5,21 11- 10,5-11,6- 4,1- 5,0- 0 2- 2,10- 8,1- 5,10- 8
Team,Wted Orig,,Non-Conf.,Conference,Road,1 0,,,,TOP,
"",RPI RPI,Record,RPI Record,RPI Record,Record,Games,1-50,51-100 101-200,201-999,,
"",,,,,,,,,,100,166
South Fla.,161 155,13-16,191 6-4,9 7- 12,2-10,4- 6,2- 4,1- 6 3- 5,7- 1,3- 10,10- 2
Tennessee Tech,162 183,15-11,234 2-6,25 13- 5,4-9,6- 4,0- 1,0- 1 4- 3,11- 6,0- 2,12- 7
Tennessee St.,163 184,12-16,124 3-8,25 9- 8,2-15,5- 5,0- 3,0- 4 4- 4,8- 5,0- 7,8- 5
St. Peter's,164 179,15-13,130 5-4,22 10- 9,5-10,7- 3,0- 1,0- 2 7- 8,8- 2,0- 3,14- 6
St. John's (N.Y.),165 138,9-18,109 6-5,3 3- 13,0-11,2- 8,1- 9,2- 5 2- 3,4- 1,3- 14,4- 1
Lamar,166 168,14-11,143 4-3,26 10- 8,6-7,5- 5,0- 0,0- 2 3- 7,11- 2,0- 2,12- 3
Loyola Marymount,167 162,11-17,133 8-5,7 3- 12,4-10,2- 8,0- 6,2- 2 4- 8,5- 1,2- 8,7- 1
Arkansas St.,168 159,13-13,203 5-5,13 8- 8,2-9,4- 6,1- 0,2- 2 5- 10,5- 1,3- 2,9- 3
 IUPUI,169 176,14-13,140 4-5,24 10- 8,5-9,6- 4,0- 1,0- 2 2- 9,12- 1,0- 3,14- 5
Fairleigh Dickinson,170 172,19-12,267 3-7,29 16- 5,7-7,7- 3,0- 1,0- 1 2- 5,17- 5,0- 2,18- 6
UMKC,171 182,14-12,233 2-7,24 12- 5,7-7,5- 5,0- 3,0- 1 7- 4,7- 4,0- 4,12- 6
Tex. A&M-Corp. Chris,172 194,16-8,144 8-6,32 8- 2,8-6,8- 2,1- 2,1- 1 1- 3,13- 2,2- 3,13- 3
Portland St.,173 187,17-9,209 6-5,28 11- 4,6-7,7- 3,0- 2,0- 0 1- 3,16- 4,0- 2,16- 4
Wright St.,174 165,15-15,122 6-6,19 9- 9,4-10,5- 5,0- 3,1- 3 5- 5,9- 4,1- 6,11- 6
Maine,175 188,13-15,212 4-4,16 9- 11,6-9,4- 6,1- 2,2- 5 1- 4,9- 4,3- 7,10- 8
Detroit,176 173,13-16,230 2-8,19 11- 8,3-11,6- 4,0- 2,2- 4 5- 6,6- 4,2- 6,8- 6
Florida Int'l,177 160,12-17,138 6-6,13 6- 11,3-9,5- 5,1- 3,3- 5 2- 6,6- 3,4- 8,7- 5
Fairfield,178 185,15-15,216 3-7,22 12- 8,6-8,4- 6,0- 1,0- 4 6- 9,9- 1,0- 5,14- 4
Purdue,179 151,7-21,159 4-7,6 3- 14,0-10,2- 8,1- 14,0- 4 2- 2,4- 1,1- 18,5- 1
Appalachian St.,180 203,15-12,245 4-4,20 11- 8,3-11,7- 3,0- 0,0- 5 5- 5,10- 2,0- 5,11- 3
St. Louis,181 167,9-21,213 3-10,9 6- 11,3-9,4- 6,0- 8,2- 5 3- 5,4- 3,2- 13,5- 4
Hampton,182 207,17-13,286 2-7,30 15- 6,7-9,8- 2,0- 1,0- 3 2- 5,15- 4,0- 4,15- 5
Northern Ill.,183 191,11-17,180 4-5,10 7- 12,3-13,4- 6,1- 3,2- 5 3- 6,5- 3,3- 8,6- 4
Ga. Southern,184 200,14-13,263 3-6,20 11- 7,4-9,5- 5,0- 1,0- 3 6- 6,8- 3,0- 4,11- 4
UC Irvine,185 193,15-13,149 6-2,17 9- 11,6-8,6- 4,0- 3,0- 2 2- 5,13- 3,0- 5,13- 3
San Diego St.,186 170,9-18,163 4-7,11 5- 11,3-8,2- 8,0- 4,1- 6 4- 6,4- 2,1- 10,5- 3
Manhattan,187 198,13-14,113 3-4,22 10- 10,3-11,5- 5,1- 1,1- 3 4- 7,7- 3,2- 4,9- 7
Binghamton,188 175,12-17,169 3-6,16 9- 11,2-10,7- 3,0- 5,1- 5 5- 2,6- 5,1- 10,10- 6
Valparaiso,189 192,15-16,170 5-9,24 10- 7,5-9,5- 5,0- 5,1- 1 4- 6,10- 4,1- 6,13- 8
Yale,190 189,11-16,179 4-9,18 7- 7,3-10,6- 4,0- 3,1- 3 4- 5,6- 5,1- 6,8- 6
Fordham,191 181,13-16,158 4-7,15 9- 9,3-10,5- 5,0- 1,1- 8 5- 4,7- 3,1- 9,9- 4
Oakland,192 204,11-18,196 1-9,24 10- 9,4-13,6- 4,0- 2,0- 5 5- 8,6- 3,0- 7,9- 8
Team,Wted Orig,,Non-Conf.,Conference,Road,10,,,,TOP,
"",RPI RPI,Record,RPI Record,RPI Record,Record,Games,1-50,51-100 101-200,201-999,,
"",,,,,,,,,,100,166
East Caro.,193 178,7-19,174 3-7,9 4- 12,1-11,4- 6,2- 5,1- 8 3- 4,1- 2,3- 13,2- 2
Monmouth,194 195,16-13,298 1-8,29 15- 5,7-8,6- 4,0- 1,0- 1 2- 6,14- 5,0- 2,15- 8
North Texas,195 180,12-14,107 6-4,13 6- 10,4-7,4- 6,0- 4,0- 3 4- 5,8- 2,0- 7,9- 4
Albany (N.Y.),196 209,13-15,259 4-5,16 9- 10,6-11,4- 6,0- 4,0- 4 3- 2,10- 5,0- 8,13- 7
Harvard,197 197,12-15,185 5-8,18 7- 7,4-10,5- 5,0- 0,1- 5 2- 6,9- 4,1- 5,10- 7
 Iona,198 196,15-16,172 4-6,22 11- 10,3-10,6- 4,0- 2,2- 4 5- 6,8- 4,2- 6,10- 7
Furman,199 202,12-13,208 3-5,20 9- 8,4-8,5- 5,0- 2,0- 4 3- 5,9- 2,0- 6,10- 4
 Indiana St.,200 161,11-20,182 5-6,8 6- 14,0-12,3- 7,2- 8,1- 3 3- 7,5- 2,3- 11,6- 2
