SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,OPPSOS,NCOPPSOS,1-50,51-100,101-200,VTOP100
Campbell,254,225,312,15-16,295,5-7,10-9,4-11,323,336,280,264,0-0,0-1,1-5,0-1
SoutheastMoSt.,255,208,267,12-17,248,4-7,8-10,6-9,290,257,247,294,0-0,0-3,1-6,1-4
OralRoberts,256,172,154,8-20,213,3-10,5-10,3-13,146,91,180,98,0-0,0-5,1-6,0-8
FairleighDickinson,257,215,289,11-18,321,1-8,10-10,5-13,250,179,308,138,0-0,0-3,1-2,0-3
LoyolaMarymount,258,173,158,10-20,258,4-6,6-14,3-12,194,304,148,282,0-3,1-5,1-6,1-8
Duquesne,259,198,231,16-16,274,9-4,7-12,2-7,313,349,153,346,0-3,0-1,3-5,0-5
CharlestonSo.,260,215,289,12-16,293,2-6,10-10,6-10,316,322,274,167,0-0,0-3,2-4,1-3
UMKC,261,171,151,8-21,244,3-11,5-10,3-11,130,95,212,269,0-2,0-5,1-5,1-8
EasternIll.,262,196,219,10-19,308,2-7,8-12,4-12,227,267,241,266,0-0,0-5,1-4,0-7
AbileneChristian,263,223,307,12-16,226,4-6,8-10,6-9,310,260,328,310,0-1,0-0,0-7,0-1
SantaClara,264,178,166,10-19,341,2-8,8-11,5-5,214,298,137,244,0-3,0-5,2-3,0-8
HolyCross,265,225,312,12-19,305,3-8,9-11,6-10,273,282,319,290,0-1,0-0,1-4,0-3
CentralConnSt.,266,235,328,14-18,208,7-6,7-12,6-14,336,344,309,284,0-0,0-0,0-5,0-2
NorfolkSt.,267,240,338,13-17,289,1-11,12-6,5-11,320,108,335,206,0-2,0-1,0-2,0-3
IdahoSt.,268,207,262,12-16,309,3-6,9-10,5-10,333,345,188,213,0-0,0-2,2-6,0-6
FlaAtlantic,269,194,214,9-19,251,3-6,6-13,4-9,225,216,200,286,0-2,0-3,0-5,0-6
EasternKy.,270,194,214,9-20,216,4-7,5-13,5-11,228,220,234,248,0-0,0-2,0-11,0-5
SouthAla.,271,208,267,12-18,277,5-6,7-12,1-13,279,342,262,308,0-1,0-2,2-3,0-3
NJIT,272,217,296,12-16,242,5-8,7-8,4-9,307,154,276,235,0-2,0-1,1-3,0-3
JamesMadison,273,170,148,9-22,285,3-9,6-13,3-11,174,210,165,278,0-0,0-6,2-7,0-8
HighPoint,274,212,282,11-16,271,2-6,9-10,3-11,315,271,250,75,0-1,0-1,3-3,1-2
EastCarolina,275,165,138,10-20,331,6-5,4-15,2-8,190,347,121,351,0-4,0-1,1-10,0-9
SouthFla.,276,172,154,10-22,310,7-6,3-16,3-10,208,350,130,349,0-4,0-1,2-10,0-9
MontanaSt.,277,203,243,11-19,219,5-6,6-13,3-12,298,279,218,318,0-0,0-0,1-10,1-3
StFrancisBrooklyn,278,236,329,11-18,344,1-9,10-9,3-13,283,256,336,348,0-0,0-0,1-2,0-1
Quinnipiac,279,215,289,12-21,337,3-9,9-12,4-12,300,335,248,298,0-0,0-1,1-6,0-4
ArmyWestPoint,280,241,340,12-17,176,6-4,6-13,4-12,339,338,306,312,0-0,0-0,1-3,0-2
TheCitadel,281,185,188,8-21,266,2-7,6-14,3-12,203,162,223,252,0-1,0-5,3-4,2-8
ClevelandSt.,282,207,262,11-23,313,2-10,9-13,2-15,241,198,273,205,0-2,0-1,2-5,1-5
Jacksonville,283,223,307,11-18,320,2-11,9-7,3-12,304,228,300,325,0-1,0-1,1-4,0-3
Bethune-Cookman,284,276,351,16-14,304,4-9,12-5,8-10,351,339,339,293,0-0,0-1,0-0,0-1
Portland,285,163,129,7-22,276,3-7,4-15,2-9,164,229,115,79,0-3,0-6,1-4,0-9
N.CCentral,286,269,350,16-16,303,3-9,13-7,3-13,349,274,350,340,0-0,0-0,0-2,0-1
Omaha,287,171,151,7-22,268,3-11,4-11,1-15,142,143,186,116,0-2,0-5,0-6,0-7
SIUE,288,196,219,9-21,264,4-7,5-14,5-11,253,306,235,250,0-1,0-3,1-6,0-7
UTEP,289,184,186,10-20,280,4-7,6-13,2-8,216,192,183,272,0-1,0-5,1-3,0-8
FIU,290,206,256,11-18,330,3-7,8-11,3-9,295,323,198,323,0-1,0-3,0-3,0-6
Fordham,291,168,145,9-22,275,5-7,4-15,1-10,185,252,124,220,0-3,0-3,0-8,0-7
IUPUI,292,210,277,9-19,326,1-8,8-11,2-14,266,226,263,149,0-2,0-0,1-5,1-3
UMassLowell,293,224,310,11-18,316,5-7,6-11,3-11,293,331,305,345,0-0,0-2,0-7,0-2
MoreheadSt.,294,174,160,6-21,209,2-7,4-14,1-15,132,28,232,169,0-1,0-3,2-7,1-6
ArkansasSt.,295,206,256,9-21,319,3-8,6-13,4-13,276,332,253,275,0-1,0-2,1-7,0-3
Samford,296,179,171,8-22,302,2-9,6-13,2-15,220,186,191,179,0-2,0-3,0-10,0-10
McNeese,297,218,298,8-17,329,0-7,8-10,4-12,303,114,318,183,0-1,0-2,1-4,0-3
Brown,298,224,310,10-16,236,6-6,4-10,3-11,330,324,284,295,0-1,0-1,0-5,0-2
Siena,299,182,178,8-24,194,4-9,4-15,1-15,162,36,249,271,0-1,0-3,3-6,0-6
UCRiverside,300,183,183,7-22,269,3-9,4-13,3-13,231,223,199,182,0-1,0-0,1-10,0-3
KennesawSt.,301,201,239,8-20,282,2-11,6-9,2-14,246,84,281,201,0-1,0-3,0-5,0-4
GreenBay,302,211,279,10-20,333,2-8,8-12,2-13,309,299,257,177,0-0,0-2,0-7,0-6
Ark.-PineBluff,303,253,345,14-21,347,0-14,14-7,6-13,346,237,342,189,0-1,0-0,0-5,0-1
Chattanooga,304,187,195,8-23,249,4-7,4-16,1-14,212,191,244,324,0-0,1-1,1-13,1-8
UTMartin,305,212,282,8-21,299,3-8,5-13,5-12,312,307,252,319,0-0,0-3,1-4,0-6
CalPoly,306,181,177,7-22,267,3-9,4-13,1-13,210,196,233,232,0-0,1-0,1-14,1-1
WesternIll.,307,199,234,8-16,257,5-4,3-12,1-10,294,343,211,240,0-0,0-4,0-3,0-4
LittleRock,308,190,203,6-24,298,2-9,4-15,2-14,163,132,283,317,0-0,1-2,1-7,1-2
NorthernAriz.,309,174,160,4-26,255,2-9,2-17,3-14,150,153,231,181,0-1,0-2,0-13,0-7
SacramentoSt.,310,170,148,5-25,314,1-10,4-15,1-13,125,123,267,234,0-0,0-3,1-13,1-5
SouthernU.,311,254,346,13-18,296,2-9,11-9,4-14,347,212,344,104,0-1,0-1,0-4,0-4
Lafayette,312,230,321,9-21,340,1-9,8-12,2-14,274,247,327,332,0-1,0-0,0-3,0-3
Pepperdine,313,161,125,5-26,323,2-9,3-17,0-14,133,211,143,195,0-3,0-5,0-9,0-11
SanJoseSt.,314,148,102,3-26,291,2-8,1-18,1-14,120,195,126,297,0-2,0-4,1-12,0-10
VMI,315,196,219,7-21,273,3-6,4-15,3-12,278,308,220,302,0-0,0-4,0-8,0-8
NewHampshire,316,205,251,8-21,343,2-10,6-11,2-12,264,315,271,233,0-0,0-4,1-5,0-5
Columbia,317,204,246,7-19,306,2-10,5-9,1-14,255,235,275,243,0-1,0-1,1-6,0-3
DetroitMercy,318,192,210,6-24,232,2-9,4-15,2-11,205,43,258,127,0-1,0-4,1-5,0-8
Presbyterian,319,211,279,8-21,245,4-6,4-15,2-13,289,263,292,260,0-1,1-2,0-5,1-3
Binghamton,320,229,320,9-20,250,7-6,2-14,3-12,326,341,321,350,0-0,0-3,1-4,0-3
Charlotte,321,183,183,5-23,318,3-7,2-16,2-12,218,327,164,200,0-1,0-6,0-4,0-10
Rice,322,185,188,5-24,322,1-10,4-14,2-12,211,200,184,222,0-2,0-2,0-8,0-5
LoyolaMaryland,323,221,305,8-22,346,1-9,7-13,1-16,263,290,325,307,0-0,0-1,0-6,0-4
SacredHeart,324,231,324,9-21,311,4-8,5-13,4-11,332,337,307,270,0-0,0-1,0-5,0-3
YoungstownSt.,325,200,235,6-24,336,0-11,6-13,2-13,247,155,255,156,0-0,0-1,0-10,0-4
A&M-CorpusChristi,326,228,319,8-18,350,0-7,8-11,4-11,340,296,298,87,0-0,0-1,1-4,0-2
Stetson,327,237,333,8-20,294,4-9,4-11,5-11,337,318,324,344,0-0,0-1,0-4,0-2
MorganSt.,328,268,349,11-19,278,2-9,9-10,3-15,350,266,349,335,0-1,0-0,0-1,0-1
Marist,329,200,235,6-25,324,2-10,4-15,2-10,221,233,279,336,0-1,0-2,0-6,0-5
JacksonSt.,330,248,342,10-20,307,1-10,9-10,2-17,344,182,347,154,0-1,0-2,0-3,0-4
SouthCarolinaSt.,331,231,324,8-22,290,2-11,6-11,2-16,329,124,334,208,0-0,0-3,0-4,0-6
AlabamaSt.,332,236,329,8-23,317,0-12,8-11,4-13,334,73,340,139,0-1,0-3,0-2,0-4
FloridaA&M,333,237,333,8-25,334,0-15,8-10,2-20,328,128,341,231,0-1,0-3,0-3,0-4
Dartmouth,334,218,298,6-20,325,3-9,3-11,1-14,317,319,297,334,0-0,0-1,0-8,0-3
Longwood,335,207,262,4-26,345,0-10,4-16,2-13,235,203,301,321,0-0,0-2,0-6,0-2
American,336,225,312,6-24,288,3-8,3-16,2-16,301,285,320,322,0-1,0-2,0-3,0-5
Maine,337,211,279,4-26,349,1-12,3-14,2-16,269,333,286,313,0-1,0-3,0-6,0-5
ChicagoSt.,338,159,121,1-29,339,0-15,1-14,0-19,152,209,136,68,0-1,0-4,0-9,0-8
Howard,339,252,344,8-23,335,1-13,7-10,2-18,341,243,337,256,0-1,0-0,0-4,0-1
CSUN,340,204,246,4-24,351,1-11,3-13,2-13,302,328,270,339,0-0,0-0,0-11,0-1
Bryant,341,215,289,3-28,327,1-12,2-16,2-17,267,240,312,257,0-0,0-2,0-5,0-3
CoppinSt.,342,230,321,5-27,332,0-15,5-12,1-20,308,142,329,114,0-2,0-2,0-2,0-4
NorthwesternSt.,343,202,242,2-23,292,1-6,1-17,2-13,285,280,287,12,0-0,0-3,0-7,0-3
Alcorn,344,243,341,7-21,338,0-9,7-12,2-16,348,234,332,7,0-0,0-2,0-4,0-3
USCUpstate,345,208,267,3-25,328,1-12,2-13,0-17,286,218,285,238,0-0,0-2,0-5,0-3
HoustonBaptist,346,208,267,3-25,300,1-9,2-16,1-16,296,121,290,76,0-1,0-2,0-7,0-5
UMES,347,234,326,5-25,270,2-11,3-14,0-18,318,125,343,196,0-1,0-4,0-2,0-5
IncarnateWord,348,219,301,3-21,281,1-5,2-16,1-12,314,127,316,44,0-2,0-1,0-4,0-3
MississippiVal.,349,236,329,4-28,315,0-13,4-15,1-21,331,70,346,167,0-1,0-2,0-6,0-4
AlabamaA&M,350,240,338,3-28,342,0-13,3-15,1-18,342,215,333,88,0-1,0-1,0-2,0-2
DelawareSt.,351,248,342,2-28,348,0-13,2-15,0-18,338,239,348,268,0-0,0-1,0-3,0-2
