SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,201-999,VTOP100,VBELOW201
Eastern Mich.,237,183,195,14-17,229,5-8,12,9-9,3-11,7-5,1-3,1-3,3-6,9-5,2-6,11-8
Eastern Wash.,286,193,226,9-19,252,3-9,26,6-10,2-12,4-8,0-2,1-4,1-6,7-7,1-6,8-10
Elon,211,181,190,13-18,304,1-6,21,12-12,3-12,7-5,0-3,0-2,6-10,7-3,0-5,12-5
Evansville,252,139,96,8-21,217,5-5,8,3-16,2-12,4-8,1-6,1-3,2-9,4-3,2-9,5-4
Fairfield,176,169,155,14-16,223,3-8,18,11-8,7-9,8-4,0-2,2-2,5-9,7-3,2-4,8-5
Fairleigh Dickinson,283,193,226,8-20,187,4-6,24,4-14,4-10,3-9,0-1,0-3,2-10,6-6,0-4,8-11
Fla. Atlantic,234,192,224,15-18,248,6-7,15,9-11,3-11,8-4,0-5,0-2,3-6,12-5,0-7,13-9
Fla. Gulf Coast,291,215,297,10-21,299,6-20,32,4-1,5-13,4-8,0-2,0-4,1-6,9-9,0-6,10-13
Florida,72,135,91,21-11,71,13-2,4,8-9,3-6,4-8,2-7,1-2,10-2,8-0,3-9,12-1
Florida A&M,250,218,307,13-17,257,3-9,30,10-8,5-11,7-5,0-5,0-1,1-3,12-8,0-6,12-9
Florida Int'l,263,165,145,8-20,243,2-7,15,6-13,1-11,4-8,0-6,0-2,3-6,5-6,0-8,7-9
Florida St.,59,108,29,19-14,61,11-4,1,8-10,4-6,6-6,3-6,5-5,6-3,5-0,8-11,7-1
Fordham,168,128,80,11-17,178,5-6,7,6-11,4-9,4-8,2-6,1-3,2-8,6-0,3-9,7-2
Fresno St.,243,176,176,12-19,155,7-7,20,5-12,2-12,3-9,0-4,0-9,1-2,11-4,0-13,11-4
Furman,304,182,193,7-23,315,1-8,21,6-15,1-13,4-8,0-3,0-1,3-12,4-7,0-4,6-11
Ga. Southern,132,181,190,18-12,87,5-4,21,13-8,6-7,7-5,0-2,2-4,5-6,11-0,2-6,14-4
Gardner-Webb,200,207,272,15-16,249,8-10,23,7-6,5-10,7-5,0-4,1-3,2-3,12-6,1-7,12-9
George Mason,61,162,142,23-10,47,8-4,13,15-6,5-7,8-4,2-1,2-2,10-5,9-2,4-3,15-4
George Washington,185,125,75,9-17,191,4-6,7,5-11,1-12,4-8,1-6,1-4,3-6,4-1,2-10,5-4
Georgetown,8,105,20,27-5,26,10-1,5,17-4,8-4,9-3,6-4,4-1,14-0,3-0,10-5,12-0
Georgia,108,112,38,15-16,126,8-4,4,7-12,2-8,6-6,4-8,3-4,3-4,6-0,7-12,7-2
Georgia St.,284,179,184,9-21,294,4-7,13,5-14,3-12,5-7,0-0,1-5,3-8,5-8,1-5,8-12
Georgia Tech,67,96,5,15-17,113,7-7,1,8-10,6-8,5-7,2-10,4-3,4-4,5-0,6-13,5-0
