SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,201-999,VTOP100,VBELOW201
Portland St.,90,208,274,21-9,172,5-7,26,16-2,8-7,11-1,0-2,2-1,4-2,15-4,2-3,16-5
Prairie View,321,229,323,7-22,278,1-10,31,6-12,3-15,4-8,0-3,0-2,0-3,7-14,0-5,7-16
Presbyterian,333,167,150,2-25,329,2-25,32,0-0,0-23,4-8,0-4,0-6,0-5,2-10,0-10,2-12
Princeton,331,195,237,5-22,323,2-11,25,3-11,0-13,1-11,0-1,0-3,0-8,5-10,0-4,5-14
Providence,109,101,12,15-16,49,9-3,5,6-13,2-8,3-9,4-9,1-3,6-4,4-0,5-12,7-2
Purdue,44,140,101,24-8,130,9-4,6,15-4,6-5,9-3,5-4,1-0,10-4,8-0,6-4,14-2
Quinnipiac,190,211,283,15-15,226,4-7,24,11-8,8-8,5-7,0-1,0-1,2-9,13-4,0-2,15-9
Radford,309,214,294,8-20,328,3-10,28,5-10,2-15,5-7,0-2,0-0,2-8,6-10,0-2,7-13
Rhode Island,78,138,93,21-11,32,14-1,7,7-10,5-6,4-8,1-6,2-2,11-3,7-0,3-8,13-1
Rice,302,145,105,3-27,230,3-10,10,0-17,1-13,0-12,0-5,0-4,1-13,2-5,0-9,3-11
Richmond,120,137,92,16-14,140,7-6,7,9-8,6-7,6-6,2-5,3-3,5-5,6-1,5-8,9-4
Rider,110,194,232,23-10,163,8-4,18,15-6,9-6,8-4,0-1,1-2,8-6,14-1,1-3,17-3
Robert Morris,135,223,315,26-7,166,9-4,24,17-3,14-2,11-1,0-0,0-0,8-5,18-2,0-0,24-5
Rutgers,210,134,87,11-20,176,8-5,5,3-15,3-10,3-9,1-8,1-3,3-8,6-1,2-11,8-5
S.C. Upstate,307,193,226,6-22,313,4-21,32,2-1,3-13,4-8,0-0,0-6,1-9,5-7,0-6,6-10
SMU,266,160,137,8-20,287,4-7,10,4-13,2-9,3-9,0-3,0-6,3-6,5-5,0-9,7-7
Sacramento St.,335,193,226,2-24,334,0-10,26,2-14,0-15,1-11,0-3,0-3,0-6,2-12,0-6,2-15
Sacred Heart,166,203,258,18-14,300,3-8,24,15-6,9-8,8-4,0-0,0-0,6-10,12-4,0-0,15-9
Sam Houston St.,98,193,226,19-8,53,9-1,17,10-7,8-5,7-5,0-0,2-2,6-4,11-2,2-2,14-4
Samford,262,224,318,12-16,253,2-5,29,10-11,7-9,6-6,0-1,1-3,1-1,10-11,1-4,11-12
San Diego,94,154,124,20-13,147,6-10,14,14-3,7-6,10-2,3-6,1-5,3-1,13-1,4-11,16-1
San Diego St.,82,150,117,19-12,98,9-4,9,10-8,6-7,6-6,1-6,4-3,4-2,10-1,5-9,13-3
San Francisco,273,169,155,9-21,256,3-11,14,6-10,2-13,5-7,0-6,0-5,1-7,8-3,0-11,9-8
San Jose St.,238,189,218,13-19,156,8-6,20,5-13,4-11,3-9,0-1,3-6,3-5,7-7,3-7,9-8
Santa Clara,186,172,164,13-16,175,6-7,14,7-9,6-9,5-7,0-6,1-5,0-2,12-3,1-11,12-3
Savannah St.,254,205,263,10-17,228,6-14,32,4-3,4-13,6-6,0-4,0-2,1-4,9-7,0-6,9-11
Seton Hall,114,125,75,17-15,70,10-3,5,7-12,4-8,3-9,1-9,0-2,9-3,7-1,1-11,10-3
Siena,66,173,166,22-10,57,6-5,18,16-5,8-6,9-3,1-2,1-2,9-4,11-2,2-4,12-3
South Ala.,38,168,152,24-6,51,7-3,15,17-3,7-4,9-3,3-2,1-1,9-3,11-0,4-3,17-0
South Carolina,138,108,29,14-18,132,8-6,4,6-12,3-6,4-8,2-9,0-5,8-4,4-0,2-14,9-1
South Carolina St.,285,225,319,12-20,270,4-10,30,8-10,3-11,6-6,0-1,0-0,0-10,12-9,0-1,12-11
South Dakota St.,330,206,266,7-21,308,7-18,32,0-3,1-13,2-10,0-0,0-5,1-6,6-10,0-5,6-15
South Fla.,180,121,65,12-19,103,9-4,5,3-15,3-10,2-10,0-7,3-5,2-6,7-1,3-12,8-3
Southeast Mo. St.,293,221,313,10-19,251,3-6,29,7-13,4-12,1-11,0-2,1-2,0-3,9-12,1-4,9-14
Southeastern La.,197,199,247,13-13,233,5-6,17,8-7,6-8,6-6,0-1,1-1,2-8,10-3,1-2,11-7
Southern California,29,102,14,21-11,44,9-3,2,12-8,7-4,8-4,4-8,8-2,3-0,6-1,12-10,6-1
Southern Ill.,62,104,19,17-14,41,6-6,8,11-8,3-9,8-4,5-7,1-1,8-6,3-0,6-8,5-0
Southern Miss.,106,154,124,15-14,213,4-6,10,11-8,3-10,8-4,0-5,1-4,6-3,8-2,1-9,12-3
Southern U.,301,240,334,10-18,282,1-8,31,9-10,4-12,4-8,0-1,0-2,0-5,10-10,0-3,10-13
Southern Utah,239,185,204,11-18,241,4-10,22,7-8,4-11,7-5,0-1,0-9,3-1,8-7,0-10,11-8
St. Bonaventure,264,149,113,8-22,227,6-8,7,2-14,1-14,2-10,0-5,0-5,2-9,6-3,0-10,6-7
St. Francis (N.Y.),313,206,266,7-22,314,3-8,24,4-14,3-12,2-10,0-0,0-1,3-10,4-11,0-1,7-18
St. Francis (Pa.),314,194,232,5-23,324,1-9,24,4-14,3-11,3-9,0-0,0-2,1-12,4-9,0-2,4-16
St. John's (N.Y.),157,103,17,11-19,131,6-6,5,5-13,3-9,4-8,0-11,0-4,6-4,5-0,0-15,7-2
St. Joseph's,45,119,59,21-12,75,9-4,7,12-8,9-6,6-6,5-6,3-2,7-4,6-0,8-8,11-1
St. Louis,137,122,67,15-15,109,8-5,7,7-10,3-9,5-7,2-8,3-2,5-4,5-1,5-10,8-2
St. Mary's (Cal.),36,161,139,24-6,19,12-3,14,12-3,6-5,8-4,2-3,5-3,5-0,12-0,7-6,15-0
St. Peter's,315,183,195,6-24,284,3-8,18,3-16,1-14,2-10,0-0,0-3,1-12,5-9,0-3,5-11
Stanford,14,116,50,26-7,65,11-1,2,15-6,8-5,8-4,7-4,6-3,6-0,7-0,13-7,11-0
Stephen F. Austin,64,204,261,22-5,72,9-1,17,13-4,11-3,10-2,1-0,2-2,4-2,15-1,3-2,17-2
Stetson,257,230,324,15-16,292,10-11,23,5-5,5-10,7-5,0-1,0-5,2-4,13-6,0-6,14-9
Stony Brook,325,213,287,7-23,319,3-9,27,4-14,2-13,3-9,0-0,0-7,1-4,6-12,0-7,7-16
Syracuse,55,91,3,19-13,14,10-3,5,9-10,4-6,6-6,3-8,3-3,12-2,1-0,6-11,8-1
TCU,198,158,132,13-16,215,7-5,9,6-11,1-12,3-9,0-7,3-4,1-2,9-3,3-11,9-5
Temple,48,117,56,21-12,101,7-7,7,14-5,7-5,10-2,4-4,4-4,7-4,6-0,8-8,10-2
Tenn.-Martin,209,220,312,15-16,200,3-6,29,12-10,8-9,8-4,0-4,0-3,0-2,15-7,0-7,15-9
Tennessee,1,89,1,28-4,1,13-1,4,15-3,10-2,10-2,11-3,3-1,12-0,2-0,14-4,5-0
Tennessee St.,217,203,258,13-17,208,1-6,29,12-11,6-9,6-6,0-2,1-5,3-1,9-9,1-7,11-10
Tennessee Tech,280,217,301,11-19,336,1-8,29,10-11,6-13,4-8,0-0,0-5,1-5,10-9,0-5,11-13
Tex.-Pan American,279,234,330,13-13,301,6-12,32,7-1,6-6,9-3,0-1,0-1,0-4,13-7,0-2,13-7
Texas,5,100,11,27-5,9,12-2,3,15-3,7-3,10-2,11-4,6-1,5-1,5-0,17-5,8-0
Texas A&M,41,112,38,23-10,35,13-1,3,10-9,4-5,6-6,5-7,3-3,9-0,6-0,8-10,11-0
Texas Southern,320,223,315,7-25,281,1-12,31,6-13,3-15,3-9,0-2,0-3,0-6,7-14,0-5,7-17
Texas St.,249,200,249,10-16,260,5-6,17,5-10,5-8,4-8,0-2,1-3,1-5,8-6,1-5,8-9
Texas Tech,71,96,5,15-15,52,8-5,3,7-10,1-10,5-7,4-9,2-5,7-0,2-1,6-14,6-1
Texas-Arlington,149,195,237,16-11,145,7-3,17,9-8,4-8,7-5,0-0,2-4,6-3,9-4,2-4,13-6
Toledo,187,143,104,11-19,179,3-10,12,8-9,1-15,5-7,1-5,1-4,4-6,5-4,2-9,8-5
Towson,235,179,184,13-18,192,5-6,13,8-12,1-13,5-7,0-1,0-4,5-7,8-6,0-5,11-11
Troy,244,176,176,10-19,169,5-4,15,5-15,3-12,3-9,0-5,0-0,3-8,7-6,0-5,9-9
Tulane,160,155,128,16-15,104,9-4,10,7-11,4-8,3-9,0-3,1-4,7-7,8-1,1-7,12-3
Tulsa,93,164,143,20-13,138,9-4,10,11-9,3-10,9-3,0-4,2-3,6-6,12-0,2-7,14-3
UAB,56,152,120,22-10,95,10-5,10,12-5,7-5,8-4,0-2,3-3,11-5,8-0,3-5,13-2
UC Davis,303,184,200,7-22,239,5-8,19,2-14,1-15,1-11,0-2,1-4,1-8,5-8,1-6,6-9
UC Irvine,152,173,166,17-16,193,5-8,19,12-8,3-10,9-3,0-2,4-7,3-4,10-3,4-9,10-3
UC Riverside,289,175,173,8-21,285,3-8,19,5-13,0-15,5-7,0-2,0-8,1-6,7-5,0-10,8-6
UC Santa Barbara,89,195,237,22-8,74,10-3,19,12-5,10-4,9-3,1-2,2-1,3-5,16-0,3-3,17-3
UCF,162,149,113,16-15,150,7-7,10,9-8,3-8,5-7,0-4,2-7,6-3,8-1,2-11,11-2
UCLA,4,103,17,30-3,18,11-1,2,19-2,9-1,11-1,11-2,9-0,4-1,6-0,20-2,9-0
UMBC,88,211,283,23-8,118,7-5,27,16-3,9-7,11-1,0-2,1-0,10-3,12-3,1-2,19-6
UMKC,288,186,208,9-21,273,5-10,22,4-11,2-13,4-8,0-2,0-5,1-7,8-7,0-7,9-11
UNC Asheville,143,227,321,19-9,117,7-4,28,12-5,7-6,7-5,0-2,0-1,3-2,16-4,0-3,16-4
UNC Greensboro,125,181,190,19-12,90,6-3,21,13-9,7-8,6-6,0-4,1-1,8-6,10-1,1-5,15-4
UNC Wilmington,127,178,181,20-13,182,7-6,13,13-7,5-9,7-5,0-2,2-3,7-5,11-3,2-5,16-6
UNI,133,134,87,17-14,168,7-4,8,10-10,6-7,6-6,2-6,2-2,7-5,6-1,4-8,10-2
UNLV,24,139,96,25-7,33,10-3,9,15-4,6-5,9-3,2-3,8-3,6-1,9-0,10-6,13-1
UTEP,101,158,132,19-13,107,9-4,10,10-9,3-10,6-6,0-3,3-7,6-2,10-1,3-10,12-2
UTSA,221,174,169,9-17,245,3-7,17,6-10,3-11,5-7,0-2,0-7,3-2,6-6,0-9,8-6
Utah,95,133,86,16-14,80,8-4,9,8-10,4-10,6-6,1-5,4-4,6-3,5-2,5-9,10-4
Utah St.,69,188,214,23-10,81,10-5,20,13-5,5-8,8-4,0-1,6-3,4-3,13-3,6-4,15-5
Utah Valley St.,246,211,283,13-14,218,6-12,32,7-2,5-11,9-3,0-1,0-5,0-4,13-4,0-6,13-5
VCU,54,171,161,24-7,48,8-3,13,16-4,9-3,9-3,0-2,3-1,10-3,11-1,3-3,16-2
VMI,275,233,328,10-15,290,4-6,28,6-9,6-7,4-8,0-1,0-0,2-4,8-10,0-1,9-10
Valparaiso,97,145,105,19-13,45,8-3,11,11-10,5-8,7-5,0-5,5-3,5-3,9-2,5-8,10-3
Vanderbilt,12,109,35,26-7,7,15-0,4,11-7,4-6,9-3,4-4,7-2,10-1,5-0,11-6,10-0
Vermont,192,214,294,16-15,212,6-7,27,10-8,8-9,6-6,0-0,0-5,4-4,12-6,0-5,15-8
Villanova,51,108,29,20-12,40,10-2,5,10-10,4-7,7-5,4-7,3-1,9-3,4-1,7-8,11-2
Virginia,126,113,42,15-15,78,10-3,1,5-12,4-7,4-8,1-6,2-8,6-1,6-0,3-14,8-0
Virginia Tech,53,114,45,19-13,99,9-5,1,10-8,4-8,7-5,1-7,5-2,8-4,5-0,6-9,7-1
Wagner,123,219,309,23-8,180,7-4,24,16-4,10-5,9-3,0-1,0-0,10-2,13-5,0-1,22-6
Wake Forest,100,116,50,17-13,102,10-3,1,7-10,2-10,5-7,3-3,3-7,6-3,5-0,6-10,9-0
Washington,121,108,29,16-16,115,9-4,2,7-12,4-7,4-8,2-10,5-6,2-0,7-0,7-16,8-0
Washington St.,23,118,58,24-8,16,12-0,2,12-8,10-3,7-5,4-7,8-1,3-0,9-0,12-8,10-0
Weber St.,193,208,274,15-13,221,4-6,26,11-7,4-9,6-6,0-1,2-3,0-4,13-5,2-4,13-5
West Virginia,30,113,42,23-10,39,10-2,5,13-8,6-5,8-4,3-8,2-1,13-1,5-0,5-9,10-0
Western Caro.,292,175,173,9-21,242,3-6,21,6-15,1-13,4-8,0-3,0-1,3-14,6-3,0-4,8-8
Western Ill.,267,201,253,10-18,247,5-8,22,5-10,2-13,4-8,0-2,0-4,1-6,9-6,0-6,10-10
Western Ky.,40,177,179,25-6,97,6-4,15,19-2,9-3,11-1,0-4,1-1,11-1,13-0,1-5,19-0
Western Mich.,119,174,169,20-12,171,7-7,12,13-5,7-9,9-3,1-1,3-6,4-2,12-3,4-7,15-4
Wichita St.,199,128,80,11-20,127,7-5,8,4-15,2-10,3-9,0-7,2-2,6-8,3-3,2-9,5-3
William & Mary,156,166,146,15-16,286,2-7,13,13-9,5-10,5-7,0-1,1-4,5-8,9-3,1-5,11-5
Winston-Salem,312,233,328,10-18,302,10-17,32,0-1,2-12,5-7,0-1,0-1,0-6,10-10,0-2,10-12
Winthrop,107,191,222,20-11,112,7-7,28,13-4,6-6,8-4,1-4,2-0,3-5,14-2,3-4,14-3
Wisconsin,11,122,67,28-4,22,10-2,6,18-2,10-2,11-1,6-4,3-0,15-0,5-0,9-4,15-0
Wofford,195,179,184,12-16,114,3-3,21,9-13,4-10,4-8,1-5,0-0,4-7,7-4,1-5,8-7
Wright St.,86,154,124,21-10,54,8-3,11,13-7,7-6,8-4,1-2,4-4,6-4,10-0,5-6,11-1
Wyoming,219,156,130,10-18,231,5-6,9,5-12,3-10,5-7,0-4,2-5,3-6,5-3,2-9,7-8
Xavier,9,106,24,27-6,11,12-3,7,15-3,7-4,10-2,9-4,3-2,11-0,4-0,12-6,10-0
Yale,183,188,214,12-15,144,5-8,25,7-7,5-10,6-6,0-4,0-2,4-4,8-5,0-6,11-6
Youngstown St.,227,139,96,7-21,186,2-7,11,5-14,2-14,2-10,0-5,0-7,3-6,4-3,0-12,5-5
